"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2025-12-04 08:00:00",0.382566666666667,3.94768333333333,"1b","1b"
"2025-12-04 09:00:00",0.458933333333333,3.58008333333333,"1b","1b"
"2025-12-04 10:00:00",0.6291,4.41678333333333,"1b","1b"
"2025-12-04 11:00:00",1.47403333333333,8.12301666666667,"1b","1b"
"2025-12-04 12:00:00",0.98265,5.59091666666667,"1b","1b"
"2025-12-04 13:00:00",1.29905,7.01346666666667,"1b","1b"
"2025-12-04 14:00:00",0.9272,7.91443333333333,"1b","1b"
"2025-12-04 15:00:00",2.02911666666667,13.04925,"1b","1b"
"2025-12-04 16:00:00",4.79155,20.41115,"1b","1b"
"2025-12-04 17:00:00",2.23385,13.7290833333333,"1b","1b"
"2025-12-04 18:00:00",2.20066666666667,14.2253166666667,"1b","1b"
"2025-12-04 19:00:00",1.44618333333333,11.8205666666667,"1b","1b"
"2025-12-04 20:00:00",3.62066666666667,16.6501,"1b","1b"
"2025-12-04 21:00:00",1.01168333333333,8.12886666666667,"1b","1b"
"2025-12-04 22:00:00",1.68811666666667,12.0185166666667,"1b","1b"
"2025-12-04 23:00:00",0.641483333333333,6.3727,"1b","1b"
"2025-12-05 00:00:00",0.915366666666667,5.24396666666667,"1b","1b"
"2025-12-05 01:00:00",1.07573333333333,4.13228333333333,"1b","1b"
"2025-12-05 02:00:00",1.18488333333333,7.3354,"1b","1b"
"2025-12-05 03:00:00",1.78571666666667,9.99736666666667,"1b","1b"
"2025-12-05 04:00:00",1.80881666666667,8.77676666666667,"1b","1b"
"2025-12-05 05:00:00",1.61848333333333,8.80645,"1b","1b"
"2025-12-05 06:00:00",2.79513333333333,11.1371,"1b","1b"
"2025-12-05 07:00:00",2.36501666666667,11.1337,"1b","1b"
"2025-12-05 08:00:00",2.8127,13.8805333333333,"1b","1b"
"2025-12-05 09:00:00",2.90518333333333,15.6709333333333,"1b","1b"
"2025-12-05 10:00:00",2.31526666666667,9.89461666666667,"1b","1b"
"2025-12-05 11:00:00",1.41751666666667,6.75693333333333,"1b","1b"
"2025-12-05 12:00:00",1.10485,5.60328333333333,"1b","1b"
"2025-12-05 13:00:00",0.879466666666667,5.1737,"1b","1b"
"2025-12-05 14:00:00",0.91735,4.91921666666667,"1b","1b"
"2025-12-05 15:00:00",0.642183333333333,3.1675,"1b","1b"
"2025-12-05 16:00:00",0.52235,2.67088333333333,"1b","1b"
"2025-12-05 17:00:00",0.566383333333333,1.95921666666667,"1b","1b"
"2025-12-05 18:00:00",0.4987,1.54873333333333,"1b","1b"
"2025-12-05 19:00:00",0.339566666666667,1.37545,"1b","1b"
"2025-12-05 20:00:00",0.340866666666667,1.72336666666667,"1b","1b"
"2025-12-05 21:00:00",0.367966666666667,2.64226666666667,"1b","1b"
"2025-12-05 22:00:00",0.599666666666667,2.32511666666667,"1b","1b"
"2025-12-05 23:00:00",0.514,1.97681666666667,"1b","1b"
"2025-12-06 00:00:00",0.54925,2.04386666666667,"1b","1b"
"2025-12-06 01:00:00",0.4495,1.50995,"1b","1b"
"2025-12-06 02:00:00",0.454716666666667,0.9237,"1b","1b"
"2025-12-06 03:00:00",0.459066666666667,0.87785,"1b","1b"
"2025-12-06 04:00:00",0.510666666666667,0.875683333333333,"1b","1b"
"2025-12-06 05:00:00",0.680666666666667,1.28275,"1b","1b"
"2025-12-06 06:00:00",0.443466666666667,0.806983333333333,"1b","1b"
"2025-12-06 07:00:00",0.534116666666667,1.90933333333333,"1b","1b"
"2025-12-06 08:00:00",0.58625,2.60425,"1b","1b"
"2025-12-06 09:00:00",0.66105,2.9693,"1b","1b"
"2025-12-06 10:00:00",0.72555,3.4388,"1b","1b"
"2025-12-06 11:00:00",0.702133333333333,2.41586666666667,"1b","1b"
"2025-12-06 12:00:00",0.669483333333333,2.49823333333333,"1b","1b"
"2025-12-06 13:00:00",0.640466666666667,2.29116666666667,"1b","1b"
"2025-12-06 14:00:00",0.596616666666667,2.45993333333333,"1b","1b"
"2025-12-06 15:00:00",0.581366666666667,2.65468333333333,"1b","1b"
"2025-12-06 16:00:00",0.80045,3.8914,"1b","1b"
"2025-12-06 17:00:00",0.403333333333333,2.39771666666667,"1b","1b"
"2025-12-06 18:00:00",0.711416666666667,3.51748333333333,"1b","1b"
"2025-12-06 19:00:00",0.542383333333333,3.26006666666667,"1b","1b"
"2025-12-06 20:00:00",0.58165,2.75746666666667,"1b","1b"
"2025-12-06 21:00:00",0.621883333333333,1.94945,"1b","1b"
"2025-12-06 22:00:00",0.31025,1.22078333333333,"1b","1b"
"2025-12-06 23:00:00",0.240133333333333,0.543833333333333,"1b","1b"
"2025-12-07 00:00:00",0.294516666666667,0.736266666666667,"1b","1b"
"2025-12-07 01:00:00",0.174216666666667,1.10361666666667,"1b","1b"
"2025-12-07 02:00:00",0.289533333333333,2.28235,"1b","1b"
"2025-12-07 03:00:00",0.131216666666667,1.7041,"1b","1b"
"2025-12-07 04:00:00",0.17755,1.86611666666667,"1b","1b"
"2025-12-07 05:00:00",0.168283333333333,2.1672,"1b","1b"
"2025-12-07 06:00:00",0.198866666666667,2.2962,"1b","1b"
"2025-12-07 07:00:00",0.109416666666667,1.79553333333333,"1b","1b"
"2025-12-07 08:00:00",0.182833333333333,1.86468333333333,"1b","1b"
"2025-12-07 09:00:00",0.224416666666667,1.9311,"1b","1b"
"2025-12-07 10:00:00",0.315566666666667,1.98348333333333,"1b","1b"
"2025-12-07 11:00:00",0.360083333333333,1.8891,"1b","1b"
"2025-12-07 12:00:00",0.47175,2.88056666666667,"1b","1b"
"2025-12-07 13:00:00",0.502433333333333,2.44301666666667,"1b","1b"
"2025-12-07 14:00:00",0.582683333333333,2.51158333333333,"1b","1b"
"2025-12-07 15:00:00",0.4851,2.29235,"1b","1b"
