"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2023-06-01 00:00:00",0.1107,1.22923333333333,"1b","1b"
"2023-06-01 01:00:00",0.0621,0.8436,"1b","1b"
"2023-06-01 02:00:00",0.1027,0.845483333333334,"1b","1b"
"2023-06-01 03:00:00",0.1249,1.0363,"1b","1b"
"2023-06-01 04:00:00",0.129116666666667,1.4933,"1b","1b"
"2023-06-01 05:00:00",0.161266666666667,1.99311666666667,"1b","1b"
"2023-06-01 06:00:00",0.213533333333333,2.51288333333334,"1b","1b"
"2023-06-01 07:00:00",0.401383333333333,4.1983,"1b","1b"
"2023-06-01 08:00:00",0.89995,5.36845,"1b","1b"
"2023-06-01 09:00:00",0.807416666666667,4.701,"4b","4b"
"2023-06-01 10:00:00",0.803283333333333,4.26026666666667,"4b","4b"
"2023-06-01 11:00:00",0.9181,4.48941666666667,"4b","4b"
"2023-06-01 12:00:00",8.23458333333333,19.7022166666667,"4b","4b"
"2023-06-01 13:00:00",2.66115,8.03191666666667,"4b","4b"
"2023-06-01 14:00:00",0.671966666666667,3.27985,"4b","4b"
"2023-06-01 15:00:00",0.779716666666667,3.22225,"1b","1b"
"2023-06-01 16:00:00",0.663533333333333,3.21713333333334,"1b","1b"
"2023-06-01 17:00:00",0.516033333333333,4.31691666666667,"1b","1b"
"2023-06-01 18:00:00",0.2366,3.36806666666667,"1b","1b"
"2023-06-01 19:00:00",0.223233333333333,3.27135,"1b","1b"
"2023-06-01 20:00:00",0.064,2.24906666666667,"1b","1b"
"2023-06-01 21:00:00",0.11715,2.63265,"1b","1b"
"2023-06-01 22:00:00",0.15245,2.95178333333334,"1b","1b"
"2023-06-01 23:00:00",0.12005,1.3015,"1b","1b"
"2023-06-02 00:00:00",0.139016666666667,2.17915,"1b","1b"
"2023-06-02 01:00:00",0.100283333333333,1.15758333333333,"1b","1b"
"2023-06-02 02:00:00",0.08965,0.93885,"1b","1b"
"2023-06-02 03:00:00",0.123916666666667,2.04228333333334,"1b","1b"
"2023-06-02 04:00:00",0.111533333333333,1.28295,"1b","1b"
"2023-06-02 05:00:00",0.194266666666667,1.81683333333333,"1b","1b"
"2023-06-02 06:00:00",0.339166666666667,2.89975,"1b","1b"
"2023-06-02 07:00:00",0.546216666666667,4.0627,"1b","1b"
"2023-06-02 08:00:00",0.56885,2.6369,"1b","1b"
"2023-06-02 09:00:00",1.09508333333333,3.69803333333334,"1b","1b"
"2023-06-02 10:00:00",0.890916666666667,3.10263333333334,"1b","1b"
"2023-06-02 11:00:00",0.672633333333333,2.58015,"1b","1b"
"2023-06-02 12:00:00",0.660316666666667,2.93778333333334,"1b","1b"
"2023-06-02 13:00:00",0.524716666666667,2.5309,"1b","1b"
"2023-06-02 14:00:00",0.49675,2.57978333333334,"1b","1b"
"2023-06-02 15:00:00",0.4515,2.61893333333334,"1b","1b"
"2023-06-02 16:00:00",0.40025,2.51168333333334,"1b","1b"
"2023-06-02 17:00:00",0.306066666666667,2.4189,"1b","1b"
"2023-06-02 18:00:00",0.233966666666667,2.2189,"1b","1b"
"2023-06-02 19:00:00",0.102083333333333,2.15635,"1b","1b"
"2023-06-02 20:00:00",0.0383,2.38428333333334,"1b","1b"
