"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2023-04-01 00:00:00",0.14395,4.30975,"1b","1b"
"2023-04-01 01:00:00",0.141533333333333,3.65608333333333,"1b","1b"
"2023-04-01 02:00:00",0.4173,4.31995,"1b","1b"
"2023-04-01 03:00:00",1.33758333333333,7.5282,"1b","1b"
"2023-04-01 04:00:00",1.042,7.4505,"1b","1b"
"2023-04-01 05:00:00",0.838383333333333,6.75673333333333,"1b","1b"
"2023-04-01 06:00:00",0.53525,5.41118333333333,"1b","1b"
"2023-04-01 07:00:00",0.99035,6.58536666666667,"1b","1b"
"2023-04-01 08:00:00",1.46245,7.8491,"1b","1b"
"2023-04-01 09:00:00",1.17393333333333,5.83141666666667,"1b","1b"
"2023-04-01 10:00:00",1.17023333333333,4.07245,"1b","1b"
"2023-04-01 11:00:00",0.89525,3.18091666666667,"1b","1b"
"2023-04-01 12:00:00",0.900183333333333,4.17971666666667,"1b","1b"
"2023-04-01 13:00:00",0.636516666666667,4.7844,"1b","1b"
"2023-04-01 14:00:00",1.00363333333333,6.00788333333333,"1b","1b"
"2023-04-01 15:00:00",0.795833333333333,4.45363333333333,"1b","1b"
"2023-04-01 16:00:00",0.605316666666667,4.24845,"1b","1b"
"2023-04-01 17:00:00",0.44075,4.56811666666667,"1b","1b"
"2023-04-01 18:00:00",0.307233333333333,5.53335,"1b","1b"
"2023-04-01 19:00:00",0.26615,5.04956666666667,"1b","1b"
"2023-04-01 20:00:00",0.220166666666667,5.09523333333333,"1b","1b"
"2023-04-01 21:00:00",0.220016666666667,4.09455,"1b","1b"
"2023-04-01 22:00:00",0.1322,3.36361666666667,"1b","1b"
"2023-04-01 23:00:00",0.1146,3.45925,"1b","1b"
"2023-04-02 00:00:00",0.1034,2.06815,"1b","1b"
"2023-04-02 01:00:00",0.289616666666667,2.39731666666667,"1b","1b"
"2023-04-02 02:00:00",0.329216666666667,2.40891666666667,"1b","1b"
"2023-04-02 03:00:00",0.687883333333333,5.99178333333333,"1b","1b"
"2023-04-02 04:00:00",0.2222,2.286,"1b","1b"
"2023-04-02 05:00:00",0.299933333333333,2.39711666666667,"1b","1b"
"2023-04-02 06:00:00",0.286783333333333,3.18416666666667,"1b","1b"
"2023-04-02 07:00:00",0.162433333333333,3.5746,"1b","1b"
"2023-04-02 08:00:00",0.462266666666667,3.75933333333333,"1b","1b"
"2023-04-02 09:00:00",0.484883333333333,3.16186666666667,"1b","1b"
"2023-04-02 10:00:00",0.534766666666667,3.37426666666667,"1b","1b"
"2023-04-02 11:00:00",0.875433333333333,4.86333333333333,"1b","1b"
"2023-04-02 12:00:00",1.11598333333333,4.54873333333333,"1b","1b"
"2023-04-02 13:00:00",1.26891666666667,4.73158333333333,"1b","1b"
"2023-04-02 14:00:00",0.9472,3.4221,"1b","1b"
"2023-04-02 15:00:00",0.749283333333333,3.3509,"1b","1b"
"2023-04-02 16:00:00",0.5078,2.83438333333333,"1b","1b"
"2023-04-02 17:00:00",0.247266666666667,2.41916666666667,"1b","1b"
"2023-04-02 18:00:00",0.144066666666667,3.1294,"1b","1b"
"2023-04-02 19:00:00",0.09255,5.79025,"1b","1b"
"2023-04-02 20:00:00",0.209933333333333,5.59445,"1b","1b"
"2023-04-02 21:00:00",0.218683333333333,4.44086666666667,"1b","1b"
"2023-04-02 22:00:00",-0.0672666666666667,4.8153,"1b","1b"
"2023-04-02 23:00:00",0.129616666666667,6.43631666666667,"1b","1b"
"2023-04-03 00:00:00",0.259616666666667,8.12803333333333,"1b","1b"
"2023-04-03 01:00:00",0.21635,7.81395,"1b","1b"
"2023-04-03 02:00:00",0.1705,5.59701666666667,"1b","1b"
"2023-04-03 03:00:00",0.175666666666667,6.3239,"1b","1b"
"2023-04-03 04:00:00",0.189,9.01368333333333,"1b","1b"
"2023-04-03 05:00:00",0.40395,15.78275,"1b","1b"
"2023-04-03 06:00:00",1.62621666666667,18.9859833333333,"1b","1b"
"2023-04-03 07:00:00",2.7192,16.7288666666667,"1b","1b"
"2023-04-03 08:00:00",1.14145,6.62185,"1b","1b"
"2023-04-03 09:00:00",0.8522,3.681,"1b","1b"
"2023-04-03 10:00:00",2.67543333333333,6.41473333333333,"1b","1b"
"2023-04-03 11:00:00",2.07768333333333,4.99878333333333,"1b","1b"
"2023-04-03 12:00:00",2.48615,6.72538333333333,"1b","1b"
"2023-04-03 13:00:00",0.683383333333333,2.51183333333333,"1b","1b"
"2023-04-03 14:00:00",0.627566666666667,2.41431666666667,"1b","1b"
"2023-04-03 15:00:00",0.514733333333333,2.52865,"1b","1b"
"2023-04-03 16:00:00",0.429466666666667,2.76021666666667,"1b","1b"
"2023-04-03 17:00:00",0.235833333333333,2.86863333333333,"1b","1b"
"2023-04-03 18:00:00",0.128466666666667,4.03631666666667,"1b","1b"
"2023-04-03 19:00:00",0.0986666666666667,6.79031666666667,"1b","1b"
"2023-04-03 20:00:00",0.10245,9.47738333333333,"1b","1b"
"2023-04-03 21:00:00",0.133683333333333,11.2083166666667,"1b","1b"
"2023-04-03 22:00:00",0.290766666666667,7.96613333333333,"1b","1b"
"2023-04-03 23:00:00",0.2334,6.06041666666667,"1b","1b"
"2023-04-04 00:00:00",0.178366666666667,4.47835,"1b","1b"
"2023-04-04 01:00:00",0.17295,5.51746666666667,"1b","1b"
"2023-04-04 02:00:00",0.148833333333333,5.96785,"1b","1b"
"2023-04-04 03:00:00",0.124483333333333,4.34023333333333,"1b","1b"
"2023-04-04 04:00:00",0.0994,5.36026666666667,"1b","1b"
"2023-04-04 05:00:00",0.2747,9.47285,"1b","1b"
"2023-04-04 06:00:00",6.67976666666667,24.1123833333333,"1b","1b"
"2023-04-04 07:00:00",4.2465,17.8795333333333,"1b","1b"
"2023-04-04 08:00:00",3.90323333333333,14.6881166666667,"1b","1b"
"2023-04-04 09:00:00",2.70756666666667,10.07685,"1b","1b"
"2023-04-04 10:00:00",1.95895,8.30155,"1b","1b"
"2023-04-04 11:00:00",1.90576666666667,8.10886666666667,"1b","1b"
"2023-04-04 12:00:00",2.0416,7.87068333333333,"1b","1b"
"2023-04-04 13:00:00",1.86601666666667,8.01391666666667,"1b","1b"
"2023-04-04 14:00:00",1.65498333333333,7.21291666666667,"1b","1b"
"2023-04-04 15:00:00",1.24991666666667,6.56241666666667,"1b","1b"
"2023-04-04 16:00:00",1.28565,7.70521666666667,"1b","1b"
"2023-04-04 17:00:00",1.24635,9.35685,"1b","1b"
"2023-04-04 18:00:00",0.336683333333333,8.5441,"1b","1b"
"2023-04-04 19:00:00",0.84795,14.8871666666667,"1b","1b"
"2023-04-04 20:00:00",0.13355,11.66425,"1b","1b"
"2023-04-04 21:00:00",1.36796666666667,16.8582,"1b","1b"
"2023-04-04 22:00:00",0.1464,8.84185,"1b","1b"
"2023-04-04 23:00:00",0.123433333333333,7.97595,"1b","1b"
"2023-04-05 00:00:00",0.1789,7.75643333333333,"1b","1b"
"2023-04-05 01:00:00",0.1177,5.19093333333333,"1b","1b"
"2023-04-05 02:00:00",0.211066666666667,5.4134,"1b","1b"
"2023-04-05 03:00:00",0.257483333333333,6.2261,"1b","1b"
"2023-04-05 04:00:00",0.252366666666667,6.18365,"1b","1b"
"2023-04-05 05:00:00",0.72015,8.00438333333333,"1b","1b"
"2023-04-05 06:00:00",1.5994,12.6355,"1b","1b"
"2023-04-05 07:00:00",2.25221666666667,13.6372833333333,"1b","1b"
"2023-04-05 08:00:00",2.20325,11.5227333333333,"1b","1b"
"2023-04-05 09:00:00",1.44943333333333,8.72875,"1b","1b"
"2023-04-05 10:00:00",2.1241,9.823,"1b","1b"
"2023-04-05 11:00:00",1.39996666666667,7.89953333333333,"1b","1b"
"2023-04-05 12:00:00",1.7918,8.7337,"1b","1b"
"2023-04-05 13:00:00",1.823,9.85106666666667,"1b","1b"
"2023-04-05 14:00:00",1.6467,8.68945,"1b","1b"
"2023-04-05 15:00:00",1.61095,8.98403333333333,"1b","1b"
"2023-04-05 16:00:00",1.33338333333333,9.63986666666667,"1b","1b"
"2023-04-05 17:00:00",1.03193333333333,9.36856666666667,"1b","1b"
"2023-04-05 18:00:00",0.264333333333333,7.25641666666667,"1b","1b"
"2023-04-05 19:00:00",0.29275,7.00061666666667,"1b","1b"
