"date (UTC+0)","RH (%)","Temperature (C)","Station Level Pressure (hPa)","MSLP (hPa)","Flag"
2026-05-12 02:00:00,82.7104987833333,3.77115666666667,999.598669483333,1017.8970704183,NA
2026-05-12 03:00:00,82.8595462666667,3.53927935,999.581955,1017.89552161229,NA
2026-05-12 04:00:00,83.3895313666667,3.2987943,999.420807,1017.74749499798,NA
2026-05-12 05:00:00,78.9283395166667,4.73170856666667,999.511678966667,1017.7449218476,NA
2026-05-12 06:00:00,73.5702204166667,6.1900472,999.238327216667,1017.37031286363,NA
2026-05-12 07:00:00,68.6106883666667,8.5029377,999.0508261,1017.02940417085,NA
2026-05-12 08:00:00,66.8519283333333,10.4211487666667,998.7765645,1016.62736807647,NA
2026-05-12 09:00:00,65.1665772666667,11.9523613,998.253664133333,1015.99859561938,NA
2026-05-12 10:00:00,62.7233355,12.6997972,997.809993466667,1015.50010277964,NA
2026-05-12 11:00:00,66.2856160166667,12.7525383333333,997.451696816667,1015.13214897305,NA
2026-05-12 12:00:00,69.4535760166667,12.5438924166667,997.284332216667,1014.9748531296,NA
2026-05-12 13:00:00,71.81649025,12.3144285166667,997.168502766667,1014.87130901934,NA
2026-05-12 14:00:00,62.57478635,13.84257355,996.744514883333,1014.34482054458,NA
2026-05-12 15:00:00,55.1405296833333,14.3631127166667,996.42857475,1013.99118507735,NA
2026-05-12 16:00:00,46.3731940666667,14.8468984666667,996.1538451,1013.6817747009,NA
2026-05-12 17:00:00,50.9152803666667,13.4088916333333,995.815932166667,1013.42662057789,NA
2026-05-12 18:00:00,52.4811858,12.6759814833333,995.712692083333,1013.36711741526,NA
2026-05-12 19:00:00,57.6096610666667,11.0231519333333,995.3484457,1013.09996895561,NA
2026-05-12 20:00:00,63.3050595666667,10.3906491,995.017405066667,1012.80292900556,NA
2026-05-12 21:00:00,68.5066198666667,9.29802223333333,994.526556466667,1012.37274663237,NA
2026-05-12 22:00:00,72.9840212,8.44675473333333,993.664836616667,1011.54989906567,NA
2026-05-12 23:00:00,70.9770992166667,8.93971838333333,992.587453183333,1010.42162252322,NA
2026-05-13,69.5497429833333,9.1985768,991.40888165,1009.20539400743,NA
2026-05-13 01:00:00,74.9975548,8.37679128333333,990.316849816667,1008.14612051234,NA
2026-05-13 02:00:00,79.7979177,7.73993735,989.307691466667,1007.15952995303,NA
2026-05-13 03:00:00,80.8446207666667,7.59066066666667,988.4377299,1006.28343999489,NA
2026-05-13 04:00:00,85.2247152,7.4896133,988.0009195,1005.84527169333,NA
2026-05-13 05:00:00,92.28943205,6.10606848333333,987.386218283333,1005.3085742823,NA
2026-05-13 06:00:00,91.13878085,6.91595506666667,986.846145633333,1004.70647937526,NA
2026-05-13 07:00:00,85.4210576,8.51548733333333,986.453974483333,1004.20493209364,NA
2026-05-13 08:00:00,76.95859425,9.72973488333333,986.239471366667,1003.90964878845,NA
2026-05-13 09:00:00,75.79952715,9.25343408333333,986.1153859,1003.81349890964,NA
2026-05-13 10:00:00,84.43251695,9.2690826,985.76671245,1003.45751035098,NA
2026-05-13 11:00:00,81.7648297833333,10.1244526833333,985.458338416667,1003.08977692993,NA
2026-05-13 12:00:00,78.5754188666667,10.7157461,985.288464516667,1002.87982275135,NA
2026-05-13 13:00:00,68.9678215666667,11.5718927666667,985.297159833333,1002.83523923953,NA
2026-05-13 14:00:00,70.2416177666667,11.5566779,985.283882766667,1002.82292454492,NA
2026-05-13 15:00:00,65.7841311,12.1595557333333,985.357594933333,1002.86034041103,NA
2026-05-13 16:00:00,60.4038815833333,12.2856776833333,985.758931516667,1003.26099858898,NA
2026-05-13 17:00:00,70.4456302333333,10.2411067833333,986.03045135,1003.66493230043,NA
2026-05-13 18:00:00,71.4207016666667,9.98680241666667,986.17811285,1003.83101064659,NA
2026-05-13 19:00:00,75.62279995,9.24403933333333,986.578526733333,1004.2855071072,NA
2026-05-13 20:00:00,89.42403085,7.30596515,986.600034783333,1004.43081859115,NA
2026-05-13 21:00:00,89.74016775,7.31517443333333,986.584693616667,1004.41460060157,NA
2026-05-13 22:00:00,89.6267553666667,7.36786318333333,986.549679466667,1004.37557765233,NA
2026-05-13 23:00:00,91.8471582666667,6.96424371666667,986.389642216667,1004.23856029982,NA
2026-05-14,92.98715075,6.5059,986.321419466667,1004.19863653816,NA
2026-05-14 01:00:00,94.7164225,6.31310536666667,986.2925723,1004.1816895622,NA
2026-05-14 02:00:00,95.1395058333333,6.55545826666667,986.355308,1004.22992201292,NA
2026-05-14 03:00:00,95.256175,6.61891285,986.4519351,1004.3242084381,NA
