"datetime","NO2","qc_flag_NO2"
"2025-03-01 00:00:00",26.1265666666667,"1b"
"2025-03-01 01:00:00",8.38593103448276,"1b"
"2025-03-01 02:00:00",4.82406666666667,"1b"
"2025-03-01 03:00:00",4.41163333333333,"1b"
"2025-03-01 04:00:00",1.64803389830508,"1b"
"2025-03-01 05:00:00",12.4817166666667,"1b"
"2025-03-01 06:00:00",16.7662203389831,"1b"
"2025-03-01 07:00:00",18.4852833333333,"1b"
"2025-03-01 08:00:00",19.4225689655172,"1b"
"2025-03-01 09:00:00",21.3351833333333,"1b"
"2025-03-01 10:00:00",7.69348333333333,"1b"
"2025-03-01 11:00:00",5.72455,"1b"
"2025-03-01 12:00:00",6.12201666666667,"1b"
"2025-03-01 13:00:00",5.10176666666667,"1b"
"2025-03-01 14:00:00",4.72126666666667,"1b"
"2025-03-01 15:00:00",5.43226666666667,"1b"
"2025-03-01 16:00:00",10.3783666666667,"1b"
"2025-03-01 17:00:00",12.0616666666667,"1b"
"2025-03-01 18:00:00",20.4279833333333,"1b"
"2025-03-01 19:00:00",37.4503333333333,"1b"
"2025-03-01 20:00:00",44.8021166666667,"1b"
"2025-03-01 21:00:00",43.7789491525424,"1b"
"2025-03-01 22:00:00",41.2436833333333,"1b"
"2025-03-01 23:00:00",38.3373333333333,"1b"
"2025-03-02 00:00:00",34.6354,"1b"
"2025-03-02 01:00:00",29.2113103448276,"1b"
"2025-03-02 02:00:00",28.0281833333333,"1b"
"2025-03-02 03:00:00",26.6796440677966,"1b"
"2025-03-02 04:00:00",24.7611525423729,"1b"
"2025-03-02 05:00:00",22.0096833333333,"1b"
"2025-03-02 06:00:00",20.9674333333333,"1b"
"2025-03-02 07:00:00",20.20575,"1b"
"2025-03-02 08:00:00",22.0561833333333,"1b"
"2025-03-02 09:00:00",13.3508833333333,"1b"
"2025-03-02 10:00:00",5.21831666666667,"1b"
"2025-03-02 11:00:00",2.94791666666667,"1b"
"2025-03-02 12:00:00",2.74771666666667,"1b"
"2025-03-02 13:00:00",3.42651666666667,"1b"
"2025-03-02 14:00:00",3.9924,"1b"
"2025-03-02 15:00:00",3.8348,"1b"
"2025-03-02 16:00:00",5.98556666666667,"1b"
"2025-03-02 17:00:00",12.55685,"1b"
"2025-03-02 18:00:00",30.9303333333333,"1b"
"2025-03-02 19:00:00",38.4067166666667,"1b"
"2025-03-02 20:00:00",48.43465,"1b"
"2025-03-02 21:00:00",39.3215,"1b"
"2025-03-02 22:00:00",29.3537166666667,"1b"
"2025-03-02 23:00:00",29.8922833333333,"1b"
"2025-03-03 00:00:00",33.0432333333333,"1b"
"2025-03-03 01:00:00",4.51753846153846,"1b"
"2025-03-03 02:00:00",0.813133333333333,"1b"
"2025-03-03 03:00:00",NA,"5b"
"2025-03-03 04:00:00",1.306,"1b"
"2025-03-03 05:00:00",10.93042,"1b"
"2025-03-03 06:00:00",18.8151,"1b"
"2025-03-03 07:00:00",27.4652833333333,"1b"
"2025-03-03 08:00:00",16.3276833333333,"1b"
"2025-03-03 09:00:00",10.4638,"1b"
"2025-03-03 10:00:00",9.68708333333333,"1b"
"2025-03-03 11:00:00",6.84065,"1b"
"2025-03-03 12:00:00",4.80983333333333,"1b"
"2025-03-03 13:00:00",4.20835,"1b"
"2025-03-03 14:00:00",5.45473333333333,"1b"
"2025-03-03 15:00:00",6.51981666666667,"1b"
"2025-03-03 16:00:00",7.73986440677966,"1b"
"2025-03-03 17:00:00",12.43185,"1b"
"2025-03-03 18:00:00",24.0785762711864,"1b"
"2025-03-03 19:00:00",45.5289,"1b"
"2025-03-03 20:00:00",44.6984166666667,"1b"
"2025-03-03 21:00:00",42.9610833333333,"1b"
"2025-03-03 22:00:00",29.0172166666667,"1b"
"2025-03-03 23:00:00",16.6924833333333,"1b"
"2025-03-04 00:00:00",13.7526,"1b"
"2025-03-04 01:00:00",10.1716896551724,"1b"
"2025-03-04 02:00:00",10.4964333333333,"1b"
"2025-03-04 03:00:00",14.6453666666667,"1b"
"2025-03-04 04:00:00",14.0340666666667,"1b"
"2025-03-04 05:00:00",11.3632666666667,"1b"
"2025-03-04 06:00:00",15.3027166666667,"1b"
"2025-03-04 07:00:00",24.8886833333333,"1b"
"2025-03-04 08:00:00",18.4114666666667,"1b"
"2025-03-04 09:00:00",10.4674666666667,"1b"
"2025-03-04 10:00:00",5.92556666666667,"1b"
"2025-03-04 11:00:00",5.8822,"1b"
"2025-03-04 12:00:00",6.7139,"1b"
"2025-03-04 13:00:00",7.7897,"1b"
"2025-03-04 14:00:00",8.26685,"1b"
"2025-03-04 15:00:00",7.33031666666667,"1b"
"2025-03-04 16:00:00",9.2513,"1b"
"2025-03-04 17:00:00",13.9583166666667,"1b"
"2025-03-04 18:00:00",28.5495833333333,"1b"
"2025-03-04 19:00:00",44.4290666666667,"1b"
"2025-03-04 20:00:00",26.3267833333333,"1b"
"2025-03-04 21:00:00",22.5867166666667,"1b"
"2025-03-04 22:00:00",16.28465,"1b"
"2025-03-04 23:00:00",13.2145,"1b"
"2025-03-05 00:00:00",14.645,"1b"
"2025-03-05 01:00:00",NA,"5b"
"2025-03-05 02:00:00",NA,"5b"
"2025-03-05 03:00:00",NA,"5b"
"2025-03-05 04:00:00",NA,"5b"
"2025-03-05 05:00:00",12.5759607843137,"4b"
"2025-03-05 06:00:00",14.6370166666667,"4b"
"2025-03-05 07:00:00",17.9989,"4b"
"2025-03-05 08:00:00",20.3052,"4b"
"2025-03-05 09:00:00",13.2781666666667,"4b"
"2025-03-05 10:00:00",9.04741666666667,"4b"
"2025-03-05 11:00:00",9.80396666666667,"4b"
"2025-03-05 12:00:00",7.71296551724138,"1b"
"2025-03-05 13:00:00",6.81231666666667,"1b"
"2025-03-05 14:00:00",7.2406,"1b"
"2025-03-05 15:00:00",9.34426666666667,"1b"
"2025-03-05 16:00:00",9.52043333333333,"1b"
"2025-03-05 17:00:00",10.8674666666667,"1b"
"2025-03-05 18:00:00",13.1197333333333,"1b"
"2025-03-05 19:00:00",14.7289833333333,"1b"
"2025-03-05 20:00:00",17.0856333333333,"1b"
"2025-03-05 21:00:00",20.9470833333333,"1b"
"2025-03-05 22:00:00",17.0157796610169,"1b"
"2025-03-05 23:00:00",14.3310166666667,"1b"
"2025-03-06 00:00:00",13.9916666666667,"1b"
"2025-03-06 01:00:00",8.7901724137931,"1b"
"2025-03-06 02:00:00",9.0393,"1b"
"2025-03-06 03:00:00",8.9824,"1b"
"2025-03-06 04:00:00",10.26645,"1b"
"2025-03-06 05:00:00",9.15545,"1b"
"2025-03-06 06:00:00",10.8525166666667,"1b"
"2025-03-06 07:00:00",17.7214545454545,"1b"
"2025-03-06 08:00:00",NA,"5b"
"2025-03-06 09:00:00",10.3695882352941,"1b"
"2025-03-06 10:00:00",10.0257,"1b"
"2025-03-06 11:00:00",9.04968333333333,"1b"
"2025-03-06 12:00:00",9.2705,"1b"
"2025-03-06 13:00:00",8.6632,"1b"
"2025-03-06 14:00:00",7.76303333333333,"1b"
"2025-03-06 15:00:00",8.1376,"1b"
"2025-03-06 16:00:00",9.16176666666667,"1b"
"2025-03-06 17:00:00",8.7514,"1b"
"2025-03-06 18:00:00",8.78336666666667,"1b"
"2025-03-06 19:00:00",9.23188333333333,"1b"
"2025-03-06 20:00:00",9.80885,"1b"
"2025-03-06 21:00:00",8.97875,"1b"
"2025-03-06 22:00:00",8.69818333333333,"1b"
"2025-03-06 23:00:00",7.4907,"1b"
"2025-03-07 00:00:00",9.0541,"1b"
"2025-03-07 01:00:00",6.02148275862069,"1b"
"2025-03-07 02:00:00",6.47879661016949,"1b"
"2025-03-07 03:00:00",5.51896666666667,"1b"
"2025-03-07 04:00:00",5.42691666666667,"1b"
"2025-03-07 05:00:00",5.9852,"1b"
"2025-03-07 06:00:00",8.16505,"1b"
"2025-03-07 07:00:00",10.0989666666667,"1b"
"2025-03-07 08:00:00",12.2464666666667,"1b"
"2025-03-07 09:00:00",9.95708333333333,"1b"
"2025-03-07 10:00:00",7.9372,"1b"
"2025-03-07 11:00:00",8.17573333333333,"1b"
"2025-03-07 12:00:00",7.16968333333333,"1b"
"2025-03-07 13:00:00",6.50308333333333,"1b"
"2025-03-07 14:00:00",5.85813333333333,"1b"
"2025-03-07 15:00:00",6.69338333333333,"1b"
"2025-03-07 16:00:00",6.47175,"1b"
"2025-03-07 17:00:00",6.3384,"1b"
"2025-03-07 18:00:00",7.11893333333333,"1b"
"2025-03-07 19:00:00",8.51095,"1b"
"2025-03-07 20:00:00",6.80915,"1b"
"2025-03-07 21:00:00",7.658,"1b"
"2025-03-07 22:00:00",10.0872333333333,"1b"
"2025-03-07 23:00:00",9.761,"1b"
"2025-03-08 00:00:00",9.2712,"1b"
"2025-03-08 01:00:00",8.5561724137931,"1b"
"2025-03-08 02:00:00",8.93831666666667,"1b"
"2025-03-08 03:00:00",11.5984333333333,"1b"
"2025-03-08 04:00:00",13.90895,"1b"
"2025-03-08 05:00:00",17.3209,"1b"
"2025-03-08 06:00:00",15.8281833333333,"1b"
"2025-03-08 07:00:00",16.2697833333333,"1b"
"2025-03-08 08:00:00",15.5566779661017,"1b"
"2025-03-08 09:00:00",15.0174833333333,"1b"
"2025-03-08 10:00:00",10.7499833333333,"1b"
"2025-03-08 11:00:00",7.52793333333333,"1b"
"2025-03-08 12:00:00",7.9814406779661,"1b"
"2025-03-08 13:00:00",8.87725,"1b"
"2025-03-08 14:00:00",8.46568333333333,"1b"
"2025-03-08 15:00:00",8.5573,"1b"
"2025-03-08 16:00:00",9.09491666666667,"1b"
"2025-03-08 17:00:00",12.6862166666667,"1b"
"2025-03-08 18:00:00",17.0106,"1b"
"2025-03-08 19:00:00",18.31425,"1b"
"2025-03-08 20:00:00",15.4677333333333,"1b"
"2025-03-08 21:00:00",14.9648833333333,"1b"
"2025-03-08 22:00:00",21.48095,"1b"
"2025-03-08 23:00:00",32.1614333333333,"1b"
"2025-03-09 00:00:00",28.7202666666667,"1b"
"2025-03-09 01:00:00",22.3738275862069,"1b"
"2025-03-09 02:00:00",21.19315,"1b"
"2025-03-09 03:00:00",19.0357833333333,"1b"
"2025-03-09 04:00:00",19.5541166666667,"1b"
"2025-03-09 05:00:00",21.4747166666667,"1b"
"2025-03-09 06:00:00",22.5980833333333,"1b"
"2025-03-09 07:00:00",20.6609166666667,"1b"
"2025-03-09 08:00:00",17.1334,"1b"
"2025-03-09 09:00:00",15.1858333333333,"1b"
"2025-03-09 10:00:00",14.4226,"1b"
"2025-03-09 11:00:00",12.7144666666667,"1b"
"2025-03-09 12:00:00",13.13895,"1b"
"2025-03-09 13:00:00",8.507,"1b"
"2025-03-09 14:00:00",7.98768333333333,"1b"
"2025-03-09 15:00:00",10.1602333333333,"1b"
"2025-03-09 16:00:00",11.8855333333333,"1b"
"2025-03-09 17:00:00",16.11135,"1b"
"2025-03-09 18:00:00",21.0247166666667,"1b"
"2025-03-09 19:00:00",21.1263666666667,"1b"
"2025-03-09 20:00:00",22.33675,"1b"
"2025-03-09 21:00:00",26.43405,"1b"
"2025-03-09 22:00:00",24.8168644067797,"1b"
"2025-03-09 23:00:00",24.0226333333333,"1b"
"2025-03-10 00:00:00",24.6681,"1b"
"2025-03-10 01:00:00",18.9874137931034,"1b"
"2025-03-10 02:00:00",16.6202666666667,"1b"
"2025-03-10 03:00:00",17.5697833333333,"1b"
"2025-03-10 04:00:00",18.1097796610169,"1b"
"2025-03-10 05:00:00",19.6670666666667,"1b"
"2025-03-10 06:00:00",21.8787796610169,"1b"
"2025-03-10 07:00:00",26.2677,"1b"
"2025-03-10 08:00:00",28.74135,"1b"
"2025-03-10 09:00:00",29.2545833333333,"1b"
"2025-03-10 10:00:00",27.98235,"1b"
"2025-03-10 11:00:00",25.23295,"1b"
"2025-03-10 12:00:00",22.2944166666667,"1b"
"2025-03-10 13:00:00",18.8811333333333,"1b"
"2025-03-10 14:00:00",19.9527666666667,"1b"
"2025-03-10 15:00:00",21.3583333333333,"1b"
"2025-03-10 16:00:00",22.1791333333333,"1b"
"2025-03-10 17:00:00",24.2744333333333,"1b"
"2025-03-10 18:00:00",16.3417118644068,"1b"
"2025-03-10 19:00:00",12.16055,"1b"
"2025-03-10 20:00:00",9.99151666666667,"1b"
"2025-03-10 21:00:00",7.12663333333333,"1b"
"2025-03-10 22:00:00",6.01181666666667,"1b"
"2025-03-10 23:00:00",6.54856666666667,"1b"
"2025-03-11 00:00:00",4.6731,"1b"
"2025-03-11 01:00:00",3.74868965517241,"1b"
"2025-03-11 02:00:00",4.4688,"1b"
"2025-03-11 03:00:00",5.64596666666667,"1b"
"2025-03-11 04:00:00",5.10489830508475,"1b"
"2025-03-11 05:00:00",5.80718333333333,"1b"
"2025-03-11 06:00:00",6.60336666666667,"1b"
"2025-03-11 07:00:00",9.4449,"1b"
"2025-03-11 08:00:00",9.01020338983051,"1b"
"2025-03-11 09:00:00",9.23448333333333,"1b"
"2025-03-11 10:00:00",7.1573,"1b"
"2025-03-11 11:00:00",6.9787,"1b"
"2025-03-11 12:00:00",5.4912,"1b"
"2025-03-11 13:00:00",5.80925,"1b"
"2025-03-11 14:00:00",5.33135,"1b"
"2025-03-11 15:00:00",5.15416666666667,"1b"
"2025-03-11 16:00:00",7.14523333333333,"1b"
"2025-03-11 17:00:00",8.79903333333333,"1b"
"2025-03-11 18:00:00",10.453,"1b"
"2025-03-11 19:00:00",9.8268,"1b"
"2025-03-11 20:00:00",9.63013333333333,"1b"
"2025-03-11 21:00:00",8.39903333333333,"1b"
"2025-03-11 22:00:00",7.3342,"1b"
"2025-03-11 23:00:00",6.60036666666667,"1b"
"2025-03-12 00:00:00",5.21066666666667,"1b"
"2025-03-12 01:00:00",4.76868965517241,"1b"
"2025-03-12 02:00:00",4.5803,"1b"
"2025-03-12 03:00:00",4.1154,"1b"
"2025-03-12 04:00:00",5.83301666666667,"1b"
"2025-03-12 05:00:00",5.55671186440678,"1b"
"2025-03-12 06:00:00",8.09037288135593,"1b"
"2025-03-12 07:00:00",16.1342203389831,"1b"
"2025-03-12 08:00:00",20.83755,"1b"
"2025-03-12 09:00:00",14.5065833333333,"1b"
"2025-03-12 10:00:00",8.87703333333333,"1b"
"2025-03-12 11:00:00",6.61081666666667,"1b"
"2025-03-12 12:00:00",7.82906666666667,"1b"
"2025-03-12 13:00:00",8.16738333333333,"1b"
"2025-03-12 14:00:00",5.69823333333333,"1b"
"2025-03-12 15:00:00",6.98425,"1b"
"2025-03-12 16:00:00",10.0745384615385,"1b"
"2025-03-12 17:00:00",11.7727818181818,"1b"
"2025-03-12 18:00:00",13.4192962962963,"1b"
"2025-03-12 19:00:00",12.1087454545455,"1b"
"2025-03-12 20:00:00",11.8366545454545,"1b"
"2025-03-12 21:00:00",13.7187962962963,"1b"
"2025-03-12 22:00:00",14.3742545454545,"1b"
"2025-03-12 23:00:00",15.8329649122807,"1b"
"2025-03-13 00:00:00",14.1066666666667,"1b"
"2025-03-13 01:00:00",10.1618214285714,"1b"
"2025-03-13 02:00:00",8.91664705882353,"1b"
"2025-03-13 03:00:00",7.13607547169811,"1b"
"2025-03-13 04:00:00",7.31409615384615,"1b"
"2025-03-13 05:00:00",8.21476923076923,"1b"
"2025-03-13 06:00:00",11.0891666666667,"1b"
"2025-03-13 07:00:00",17.7072407407407,"1b"
"2025-03-13 08:00:00",14.6400754716981,"1b"
"2025-03-13 09:00:00",10.077,"1b"
"2025-03-13 10:00:00",NA,"5b"
"2025-03-13 11:00:00",NA,"5b"
"2025-03-13 12:00:00",NA,"5b"
"2025-03-13 13:00:00",NA,"5b"
"2025-03-13 14:00:00",NA,"5b"
"2025-03-13 15:00:00",12.2263333333333,"1b"
"2025-03-13 16:00:00",13.3534074074074,"1b"
"2025-03-13 17:00:00",13.9672363636364,"1b"
"2025-03-13 18:00:00",13.7273148148148,"1b"
"2025-03-13 19:00:00",17.4134909090909,"1b"
"2025-03-13 20:00:00",21.0067090909091,"1b"
"2025-03-13 21:00:00",14.9734464285714,"1b"
"2025-03-13 22:00:00",12.9233389830508,"1b"
"2025-03-13 23:00:00",15.6322413793103,"1b"
"2025-03-14 00:00:00",25.1307037037037,"1b"
"2025-03-14 01:00:00",20.4141071428571,"1b"
"2025-03-14 02:00:00",17.9464745762712,"1b"
"2025-03-14 03:00:00",15.7154561403509,"1b"
"2025-03-14 04:00:00",14.1783928571429,"1b"
"2025-03-14 05:00:00",16.3575090909091,"1b"
"2025-03-14 06:00:00",23.4442678571429,"1b"
"2025-03-14 07:00:00",28.7875454545455,"1b"
"2025-03-14 08:00:00",28.9198867924528,"1b"
"2025-03-14 09:00:00",21.140037037037,"1b"
"2025-03-14 10:00:00",8.34767924528302,"1b"
"2025-03-14 11:00:00",7.56994545454545,"1b"
"2025-03-14 12:00:00",10.3275964912281,"1b"
"2025-03-14 13:00:00",8.32787037037037,"1b"
"2025-03-14 14:00:00",8.22078947368421,"1b"
"2025-03-14 15:00:00",7.25281132075472,"1b"
"2025-03-14 16:00:00",8.29949056603774,"1b"
"2025-03-14 17:00:00",11.4777857142857,"1b"
"2025-03-14 18:00:00",15.1148571428571,"1b"
"2025-03-14 19:00:00",21.4345535714286,"1b"
"2025-03-14 20:00:00",25.0654181818182,"1b"
"2025-03-14 21:00:00",14.1950508474576,"1b"
"2025-03-14 22:00:00",9.00951785714286,"1b"
"2025-03-14 23:00:00",10.7963157894737,"1b"
"2025-03-15 00:00:00",8.80851851851852,"1b"
"2025-03-15 01:00:00",12.8697857142857,"1b"
"2025-03-15 02:00:00",9.80367857142857,"1b"
"2025-03-15 03:00:00",7.04028571428571,"1b"
