"datetime","pbl","pbs","cbh","ttc","sci","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
"2023-04-01 00:00:00",NA,0,536.5,8,4,"5b","1b","1b","1b","1b"
"2023-04-01 01:00:00",270,0,559,8,0,"1b","1b","1b","1b","1b"
"2023-04-01 02:00:00",NA,0,412,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 03:00:00",NA,0,332.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 04:00:00",NA,0,308,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 05:00:00",NA,0,275,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 06:00:00",NA,0,300,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 07:00:00",NA,0,310,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 08:00:00",NA,0,338,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 09:00:00",NA,0,384,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 10:00:00",NA,0,508.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 11:00:00",NA,0,616,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 12:00:00",NA,0,757.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 13:00:00",NA,0,857,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 14:00:00",NA,0,981.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 15:00:00",929,0,1216,8,0,"1b","1b","1b","1b","1b"
"2023-04-01 16:00:00",NA,0,981,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 17:00:00",854,0,1045.5,8,0,"1b","1b","1b","1b","1b"
"2023-04-01 18:00:00",NA,0,1050,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 19:00:00",NA,0,1092,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 20:00:00",NA,0,621.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 21:00:00",NA,0,534.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 22:00:00",NA,0,526,8,0,"5b","1b","1b","1b","1b"
"2023-04-01 23:00:00",NA,0,536.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 00:00:00",NA,0,577.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 01:00:00",NA,0,546.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 02:00:00",NA,0,511.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 03:00:00",NA,0,441.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 04:00:00",NA,0,383.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 05:00:00",NA,0,203,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 06:00:00",NA,0,151,8,1,"5b","1b","1b","1b","1b"
"2023-04-02 07:00:00",NA,0,209.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 08:00:00",NA,0,422,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 09:00:00",NA,0,514,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 10:00:00",NA,0,542,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 11:00:00",NA,0,644,8,0,"5b","1b","1b","1b","1b"
"2023-04-02 12:00:00",NA,0,813,7,0,"5b","1b","1b","1b","1b"
"2023-04-02 13:00:00",1049,0,949.5,5,0,"1b","1b","1b","1b","1b"
"2023-04-02 14:00:00",1094,0,1096,1,0,"1b","1b","1b","1b","1b"
"2023-04-02 15:00:00",1169,1,NA,1,0,"1b","1b","5b","1b","1b"
"2023-04-02 16:00:00",1229,1,1176,0,0,"1b","1b","1b","1b","1b"
"2023-04-02 17:00:00",1229,1,1143,2,0,"1b","1b","1b","1b","1b"
"2023-04-02 18:00:00",1199,1,1115,1,0,"1b","1b","1b","1b","1b"
"2023-04-02 19:00:00",1184,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-02 20:00:00",1079,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-02 21:00:00",921.5,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-02 22:00:00",839,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-02 23:00:00",450,2,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 00:00:00",689,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 01:00:00",674,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 02:00:00",524,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 03:00:00",465,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 04:00:00",524,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 05:00:00",569,0,512,8,0,"1b","1b","1b","1b","1b"
"2023-04-03 06:00:00",NA,0,542.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-03 07:00:00",NA,0,585.5,8,0,"5b","1b","1b","1b","1b"
"2023-04-03 08:00:00",NA,0,573,8,0,"5b","1b","1b","1b","1b"
"2023-04-03 09:00:00",NA,0,647,6,0,"5b","1b","1b","1b","1b"
"2023-04-03 10:00:00",NA,0,721,6,0,"5b","1b","1b","1b","1b"
"2023-04-03 11:00:00",899,0,812,3.5,0,"1b","1b","1b","1b","1b"
"2023-04-03 12:00:00",914,0,970,1,0,"1b","1b","1b","1b","1b"
"2023-04-03 13:00:00",974,1,1013,1,0,"1b","1b","1b","1b","1b"
"2023-04-03 14:00:00",1019,1,NA,1,0,"1b","1b","5b","1b","1b"
"2023-04-03 15:00:00",1034,1,1120,0,0,"1b","1b","1b","1b","1b"
"2023-04-03 16:00:00",1094,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 17:00:00",1049,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 18:00:00",1004,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 19:00:00",1019,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 20:00:00",989,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 21:00:00",944,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 22:00:00",839,1,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-03 23:00:00",577,2,NA,0,0,"1b","1b","5b","1b","1b"
"2023-04-04 00:00:00",450,2,NA,0,0,"1b","1b","5b","1b","1b"
