"datetime","pbl","pbs","cbh","ttc","sci","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
"2023-10-01 00:00:00",NA,0,260.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 01:00:00",NA,0,284.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 02:00:00",NA,0,237,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 03:00:00",NA,0,306.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 04:00:00",NA,0,311,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 05:00:00",NA,0,243.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 06:00:00",NA,0,293,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 07:00:00",NA,0,393,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 08:00:00",NA,0,338.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 09:00:00",NA,0,342,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 10:00:00",NA,0,356,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 11:00:00",NA,0,398,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 12:00:00",NA,0,465.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 13:00:00",611.5,0,709.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-01 14:00:00",470,0,670.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-01 15:00:00",NA,0,601,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 16:00:00",410,0,709,7,0,"1b","1b","1b","1b","1b"
"2023-10-01 17:00:00",NA,0,511,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 18:00:00",NA,0,535.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 19:00:00",521.5,0,493,8,0,"1b","1b","1b","1b","1b"
"2023-10-01 20:00:00",NA,0,502.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 21:00:00",NA,0,748.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-01 22:00:00",514,1,5218.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-01 23:00:00",634,0,3181,6,0,"1b","1b","1b","1b","1b"
"2023-10-02 00:00:00",529,2,3034,6,0,"1b","1b","1b","1b","1b"
"2023-10-02 01:00:00",500,2,2853,4,0,"1b","1b","1b","1b","1b"
"2023-10-02 02:00:00",500,2,2741,6,0,"1b","1b","1b","1b","1b"
"2023-10-02 03:00:00",619,2,5319.5,5,0,"1b","1b","1b","1b","1b"
"2023-10-02 04:00:00",455,1,2507,5,0,"1b","1b","1b","1b","1b"
"2023-10-02 05:00:00",365,1,6330.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-02 06:00:00",440,1,5988,7,0,"1b","1b","1b","1b","1b"
"2023-10-02 07:00:00",529,2,3992,7,0,"1b","1b","1b","1b","1b"
"2023-10-02 08:00:00",485,2,5025,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 09:00:00",410,1,2825,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 10:00:00",447.5,1,1891,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 11:00:00",634,2,1863,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 12:00:00",559,0,1731,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 13:00:00",410,0,1812,8,1,"1b","1b","1b","1b","1b"
"2023-10-02 14:00:00",425,1,813,8,0,"1b","1b","1b","1b","1b"
"2023-10-02 15:00:00",NA,0,648.5,8,1,"5b","1b","1b","1b","1b"
"2023-10-02 16:00:00",NA,0,586,8,0,"5b","1b","1b","1b","1b"
"2023-10-02 17:00:00",NA,0,476,8,0,"5b","1b","1b","1b","1b"
"2023-10-02 18:00:00",NA,0,424,8,0,"5b","1b","1b","1b","1b"
"2023-10-02 19:00:00",NA,0,495,8,1,"5b","1b","1b","1b","1b"
"2023-10-02 20:00:00",NA,0,192,8,4,"5b","1b","1b","1b","1b"
"2023-10-02 21:00:00",NA,0,530,8,1,"5b","1b","1b","1b","1b"
"2023-10-02 22:00:00",NA,0,1461,8,4,"5b","1b","1b","1b","1b"
"2023-10-02 23:00:00",NA,0,203,8,4,"5b","1b","1b","1b","1b"
"2023-10-03 00:00:00",NA,0,311.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-03 01:00:00",NA,0,140,8,1,"5b","1b","1b","1b","1b"
"2023-10-03 02:00:00",NA,0,157,8,0,"5b","1b","1b","1b","1b"
"2023-10-03 03:00:00",485,0,1862.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-03 04:00:00",679,2,2250,8,0,"1b","1b","1b","1b","1b"
"2023-10-03 05:00:00",649,2,5976,6,0,"1b","1b","1b","1b","1b"
"2023-10-03 06:00:00",514,2,4686,3,0,"1b","1b","1b","1b","1b"
"2023-10-03 07:00:00",544,1,4852,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 08:00:00",499.5,2,4935,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 09:00:00",574,0,2236,8,0,"1b","1b","1b","1b","1b"
"2023-10-03 10:00:00",NA,0,925.5,7,0,"5b","1b","1b","1b","1b"
"2023-10-03 11:00:00",NA,0,1063,7,0,"5b","1b","1b","1b","1b"
"2023-10-03 12:00:00",1129,0,1380.5,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 13:00:00",904,0,1172.5,6,0,"1b","1b","1b","1b","1b"
"2023-10-03 14:00:00",NA,0,1052.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-03 15:00:00",1069,0,974,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 16:00:00",1054,0,1129,4,0,"1b","1b","1b","1b","1b"
"2023-10-03 17:00:00",889,2,8307,2,0,"1b","1b","1b","1b","1b"
"2023-10-03 18:00:00",739,2,8146,4,0,"1b","1b","1b","1b","1b"
"2023-10-03 19:00:00",769,2,7688.5,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 20:00:00",709,2,5539,6,0,"1b","1b","1b","1b","1b"
"2023-10-03 21:00:00",566.5,2,6054,7,0,"1b","1b","1b","1b","1b"
"2023-10-03 22:00:00",604,2,8367,5,0,"1b","1b","1b","1b","1b"
"2023-10-03 23:00:00",410,2,1860,2,0,"1b","1b","1b","1b","1b"
"2023-10-04 00:00:00",380,2,1845,4,0,"1b","1b","1b","1b","1b"
"2023-10-04 01:00:00",410,1,1877,6,0,"1b","1b","1b","1b","1b"
"2023-10-04 02:00:00",440,1,1516,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 03:00:00",559,1,8516,4,0,"1b","1b","1b","1b","1b"
"2023-10-04 04:00:00",544,1,6193,6,0,"1b","1b","1b","1b","1b"
"2023-10-04 05:00:00",529,1,6275,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 06:00:00",529,2,1410.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 07:00:00",500,2,4453.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 08:00:00",604,2,1639.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 09:00:00",634,2,1582,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 10:00:00",619,0,1710,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 11:00:00",739,0,1017,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 12:00:00",634,0,1787,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 13:00:00",709,0,1586.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 14:00:00",784,3,1636,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 15:00:00",1024,0,1447.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 16:00:00",874,0,1423.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 17:00:00",814,2,1623,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 18:00:00",679,2,1702,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 19:00:00",596.5,1,4277.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 20:00:00",470,1,4721.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-04 21:00:00",485,1,4652.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 22:00:00",514,1,4502,8,0,"1b","1b","1b","1b","1b"
"2023-10-04 23:00:00",395,2,4486.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 00:00:00",425,1,3812,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 01:00:00",425,1,3729,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 02:00:00",514,1,3063,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 03:00:00",455,2,6120,6,0,"1b","1b","1b","1b","1b"
"2023-10-05 04:00:00",544,1,2703,7,0,"1b","1b","1b","1b","1b"
"2023-10-05 05:00:00",335,1,3147.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 06:00:00",425,2,2743,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 07:00:00",395,0,3026,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 08:00:00",694,2,3353,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 09:00:00",NA,0,2210,8,0,"5b","1b","1b","1b","1b"
"2023-10-05 10:00:00",NA,0,354,8,0,"5b","1b","1b","1b","1b"
"2023-10-05 11:00:00",NA,0,392,8,0,"5b","1b","1b","1b","1b"
"2023-10-05 12:00:00",589,0,2927,7,0,"1b","1b","1b","1b","1b"
"2023-10-05 13:00:00",769,0,3865,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 14:00:00",844,2,1966,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 15:00:00",829,2,2641,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 16:00:00",859,1,3744,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 17:00:00",784,1,4196,4,0,"1b","1b","1b","1b","1b"
"2023-10-05 18:00:00",604,2,3781,6,0,"1b","1b","1b","1b","1b"
"2023-10-05 19:00:00",500,2,2818,7,0,"1b","1b","1b","1b","1b"
"2023-10-05 20:00:00",432.5,2,3211,7,0,"1b","1b","1b","1b","1b"
"2023-10-05 21:00:00",410,1,3239,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 22:00:00",350,1,3037.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-05 23:00:00",350,1,3311.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 00:00:00",559,2,3304,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 01:00:00",395,2,3429,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 02:00:00",514,1,3454,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 03:00:00",589,0,3870,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 04:00:00",305,0,527.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 05:00:00",290,0,523,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 06:00:00",275,1,510,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 07:00:00",260,1,464.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 08:00:00",NA,0,443,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 09:00:00",NA,0,353,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 10:00:00",NA,0,434,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 11:00:00",NA,0,493.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 12:00:00",NA,0,543,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 13:00:00",NA,0,618.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 14:00:00",NA,0,660.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 15:00:00",NA,0,634,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 16:00:00",649,2,3661,6,0,"1b","1b","1b","1b","1b"
"2023-10-06 17:00:00",649,2,3702.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-06 18:00:00",NA,0,543.5,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 19:00:00",NA,0,532,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 20:00:00",NA,0,467,8,0,"5b","1b","1b","1b","1b"
"2023-10-06 21:00:00",NA,0,3198,7,0,"5b","1b","1b","1b","1b"
"2023-10-06 22:00:00",NA,0,3124,8,4,"5b","1b","1b","1b","1b"
"2023-10-06 23:00:00",634,0,3403,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 00:00:00",604,1,3454,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 01:00:00",559,2,4177,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 02:00:00",589,1,4565,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 03:00:00",544,0,519,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 04:00:00",514,1,5620,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 05:00:00",500,1,9595,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 06:00:00",455,1,4916,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 07:00:00",425,1,4417,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 08:00:00",395,2,4360.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 09:00:00",544,2,5340,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 10:00:00",440,2,4306,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 11:00:00",455,2,4373.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 12:00:00",395,2,4500,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 13:00:00",395,2,4590,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 14:00:00",425,2,6643,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 15:00:00",589,2,6479,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 16:00:00",709,2,6404,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 17:00:00",1039,2,6209,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 18:00:00",1009,2,5877,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 19:00:00",964,2,6749,6,0,"1b","1b","1b","1b","1b"
"2023-10-07 20:00:00",574,1,5899,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 21:00:00",514,1,5642,7,0,"1b","1b","1b","1b","1b"
"2023-10-07 22:00:00",470,2,5571.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-07 23:00:00",559,2,5743,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 00:00:00",634,1,5545,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 01:00:00",634,1,4345.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 02:00:00",514,2,4294,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 03:00:00",559,2,4465.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 04:00:00",529,2,7878.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 05:00:00",589,2,7865.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 06:00:00",514,2,7456.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 07:00:00",604,4,7497,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 08:00:00",641.5,4,7542,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 09:00:00",979,3,9071,4,0,"1b","1b","1b","1b","1b"
"2023-10-08 10:00:00",784,4,8487,3,0,"1b","1b","1b","1b","1b"
"2023-10-08 11:00:00",455,2,5849,5,0,"1b","1b","1b","1b","1b"
"2023-10-08 12:00:00",440,2,8457,4,0,"1b","1b","1b","1b","1b"
"2023-10-08 13:00:00",514,3,5999,6,0,"1b","1b","1b","1b","1b"
"2023-10-08 14:00:00",529,3,8082,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 15:00:00",485,2,8262,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 16:00:00",440,2,7505,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 17:00:00",1196.5,3,5125,8,0,"1b","1b","1b","1b","1b"
"2023-10-08 18:00:00",1728,4,5302.5,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 19:00:00",425,2,5276,5,0,"1b","1b","1b","1b","1b"
"2023-10-08 20:00:00",514,2,5298,6,0,"1b","1b","1b","1b","1b"
"2023-10-08 21:00:00",529,2,4551.5,6,0,"1b","1b","1b","1b","1b"
"2023-10-08 22:00:00",634,2,4744,7,0,"1b","1b","1b","1b","1b"
"2023-10-08 23:00:00",589,2,5752,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 00:00:00",739,2,5807,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 01:00:00",769,2,5914,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 02:00:00",829,2,5188.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 03:00:00",470,2,5369.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 04:00:00",679,2,5113,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 05:00:00",709,2,4998.5,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 06:00:00",664,1,5057,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 07:00:00",611.5,1,4920,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 08:00:00",529,1,5055,8,0,"1b","1b","1b","1b","1b"
"2023-10-09 09:00:00",514,1,5265,8,0,"1b","1b","1b","1b","1b"
