"datetime","pbl","pbs","cbh","ttc","sci","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
"2025-06-01 00:00:00",559,1,623,1,0,"1b","1b","1b","1b","1b"
"2025-06-01 01:00:00",455,1,NA,0,0,"1b","1b","5b","1b","1b"
"2025-06-01 02:00:00",395,2,NA,0,0,"1b","1b","5b","1b","1b"
"2025-06-01 03:00:00",604,1.5,1234,0,0,"1b","1b","1b","1b","1b"
"2025-06-01 04:00:00",589,1,NA,1,0,"1b","1b","5b","1b","1b"
"2025-06-01 05:00:00",529,2,NA,0,0,"1b","1b","5b","1b","1b"
"2025-06-01 06:00:00",514,2,NA,0,0,"1b","1b","5b","1b","1b"
"2025-06-01 07:00:00",559,1,NA,0,0,"1b","1b","5b","1b","1b"
"2025-06-01 08:00:00",694,0,778,1,0,"1b","1b","1b","1b","1b"
"2025-06-01 09:00:00",NA,0,926,7,0,"5b","1b","1b","1b","1b"
"2025-06-01 10:00:00",NA,0,1242.5,7,0,"5b","1b","1b","1b","1b"
"2025-06-01 11:00:00",844,0,1531.5,8,0,"1b","1b","1b","1b","1b"
"2025-06-01 12:00:00",634,0,1423,8,0,"1b","1b","1b","1b","1b"
"2025-06-01 13:00:00",814,0,1310,6,0,"1b","1b","1b","1b","1b"
"2025-06-01 14:00:00",784,0,1188.5,7,0,"1b","1b","1b","1b","1b"
"2025-06-01 15:00:00",634,0,1176,8,0,"1b","1b","1b","1b","1b"
"2025-06-01 16:00:00",NA,0,1455.5,8,0,"5b","1b","1b","1b","1b"
"2025-06-01 17:00:00",724,0,1418,8,0,"1b","1b","1b","1b","1b"
"2025-06-01 18:00:00",NA,0,862,7,0,"5b","1b","1b","1b","1b"
"2025-06-01 19:00:00",829,0,1067,7,0,"1b","1b","1b","1b","1b"
"2025-06-01 20:00:00",949,0,1819.5,5,0,"1b","1b","1b","1b","1b"
