"datetime","pbl","pbs","cbh","ttc","sci","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
"2025-08-01 00:00:00",754,1,607,0,0,"1b","1b","1b","1b","1b"
"2025-08-01 01:00:00",634,1,1186,2,0,"1b","1b","1b","1b","1b"
"2025-08-01 02:00:00",529,1,1282,7,0,"1b","1b","1b","1b","1b"
"2025-08-01 03:00:00",559,1,1365,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 04:00:00",447.5,2,1381.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 05:00:00",410,2,1409.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 06:00:00",485,1,1440,5,0,"1b","1b","1b","1b","1b"
"2025-08-01 07:00:00",514,0,1472.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 08:00:00",NA,0,678,8,0,"5b","1b","1b","1b","1b"
"2025-08-01 09:00:00",NA,0,736.5,8,0,"5b","1b","1b","1b","1b"
"2025-08-01 10:00:00",784,0,874.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 11:00:00",604,0,1133,7,0,"1b","1b","1b","1b","1b"
"2025-08-01 12:00:00",NA,0,924.5,8,4,"5b","1b","1b","1b","1b"
"2025-08-01 13:00:00",NA,0,1109,8,4,"5b","1b","1b","1b","1b"
"2025-08-01 14:00:00",NA,0,977,7,0,"5b","1b","1b","1b","1b"
"2025-08-01 15:00:00",559,0,1806,7,0,"1b","1b","1b","1b","1b"
"2025-08-01 16:00:00",604,4,2100,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 17:00:00",679,4,2132,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 18:00:00",799,4,2157,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 19:00:00",1159,0,2129,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 20:00:00",694,2,1991,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 21:00:00",694,2,1996,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 22:00:00",589,1,1981,8,0,"1b","1b","1b","1b","1b"
"2025-08-01 23:00:00",529,2,1940,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 00:00:00",574,1,1742.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 01:00:00",589,1,1799,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 02:00:00",485,1,1833,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 03:00:00",485,1,1777.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 04:00:00",544,1,1747,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 05:00:00",709,2,1721,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 06:00:00",380,1,1669,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 07:00:00",335,1,1586,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 08:00:00",455,2,1844,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 09:00:00",829,3,1654,3,0,"1b","1b","1b","1b","1b"
"2025-08-02 10:00:00",649,0,1307,4,0,"1b","1b","1b","1b","1b"
"2025-08-02 11:00:00",500,0,1487.5,6,0,"1b","1b","1b","1b","1b"
"2025-08-02 12:00:00",589,0,1543,8,0,"1b","1b","1b","1b","1b"
"2025-08-02 13:00:00",559,4,1547,7,0,"1b","1b","1b","1b","1b"
"2025-08-02 14:00:00",619,0,1589,6,0,"1b","1b","1b","1b","1b"
"2025-08-02 15:00:00",829,0,NA,1,0,"1b","1b","5b","1b","1b"
"2025-08-02 16:00:00",1593,0,NA,0,0,"1b","1b","5b","1b","1b"
"2025-08-02 17:00:00",1533,0,NA,0,0,"1b","1b","5b","1b","1b"
"2025-08-02 18:00:00",1503,4,NA,0,0,"1b","1b","5b","1b","1b"
"2025-08-02 19:00:00",1414,3,1332,0,0,"1b","1b","1b","1b","1b"
"2025-08-02 20:00:00",1219,2,1319.5,1,0,"1b","1b","1b","1b","1b"
"2025-08-02 21:00:00",1084,2,NA,0,0,"1b","1b","5b","1b","1b"
"2025-08-02 22:00:00",1024,2,NA,0,0,"1b","1b","5b","1b","1b"
"2025-08-02 23:00:00",425,2,9550,0,0,"1b","1b","1b","1b","1b"
"2025-08-03 00:00:00",455,2,8996,1,0,"1b","1b","1b","1b","1b"
"2025-08-03 01:00:00",425,2,8988.5,3,0,"1b","1b","1b","1b","1b"
"2025-08-03 02:00:00",529,1,6524,6,0,"1b","1b","1b","1b","1b"
"2025-08-03 03:00:00",365,2,5069,7,0,"1b","1b","1b","1b","1b"
"2025-08-03 04:00:00",589,1,4175,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 05:00:00",679,2,1860,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 06:00:00",350,1,1172,7,0,"1b","1b","1b","1b","1b"
"2025-08-03 07:00:00",275,0,474,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 08:00:00",NA,0,414,8,0,"5b","1b","1b","1b","1b"
"2025-08-03 09:00:00",NA,0,511,8,0,"5b","1b","1b","1b","1b"
"2025-08-03 10:00:00",NA,0,546,8,0,"5b","1b","1b","1b","1b"
"2025-08-03 11:00:00",NA,0,676,8,4,"5b","1b","1b","1b","1b"
"2025-08-03 12:00:00",500,0,987.5,7,0,"1b","1b","1b","1b","1b"
"2025-08-03 13:00:00",395,4,934.5,7,0,"1b","1b","1b","1b","1b"
"2025-08-03 14:00:00",470,5,1207,5,0,"1b","1b","1b","1b","1b"
"2025-08-03 15:00:00",574,5,1425.5,6,0,"1b","1b","1b","1b","1b"
"2025-08-03 16:00:00",544,5,4522.5,2,0,"1b","1b","1b","1b","1b"
"2025-08-03 17:00:00",649,5,5400,5,0,"1b","1b","1b","1b","1b"
"2025-08-03 18:00:00",679,4,3872,7,0,"1b","1b","1b","1b","1b"
"2025-08-03 19:00:00",1069,3,3029.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 20:00:00",994,3,2976,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 21:00:00",994,3,2430.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 22:00:00",1953,0,3353,8,0,"1b","1b","1b","1b","1b"
"2025-08-03 23:00:00",521.5,0,1903.5,8,0,"1b","1b","1b","1b","1b"
"2025-08-04 00:00:00",859,0,1817,8,0,"1b","1b","1b","1b","1b"
"2025-08-04 01:00:00",589,2,1964,8,0,"1b","1b","1b","1b","1b"
"2025-08-04 02:00:00",529,2,1695,8,0,"1b","1b","1b","1b","1b"
