"datetime","NH3","qc_flag_NH3"
"2022-09-01 00:00:00",NA,"5b"
"2022-09-01 01:00:00",NA,"5b"
"2022-09-01 02:00:00",NA,"5b"
"2022-09-01 03:00:00",NA,"5b"
"2022-09-01 04:00:00",NA,"5b"
"2022-09-01 05:00:00",NA,"5b"
"2022-09-01 06:00:00",NA,"5b"
"2022-09-01 07:00:00",NA,"5b"
"2022-09-01 08:00:00",NA,"5b"
"2022-09-01 09:00:00",NA,"5b"
"2022-09-01 10:00:00",2.4449239786345,"1b"
"2022-09-01 11:00:00",2.97726243547044,"1b"
"2022-09-01 12:00:00",3.60621922311962,"1b"
"2022-09-01 13:00:00",4.10561355065223,"1b"
"2022-09-01 14:00:00",4.47405429716981,"1b"
"2022-09-01 15:00:00",4.88138307021926,"1b"
"2022-09-01 16:00:00",4.96930327615876,"1b"
"2022-09-01 17:00:00",5.00156820033296,"1b"
"2022-09-01 18:00:00",5.04828553316681,"1b"
"2022-09-01 19:00:00",5.02466030835415,"1b"
"2022-09-01 20:00:00",5.2834134017758,"1b"
"2022-09-01 21:00:00",5.57838057646406,"1b"
"2022-09-01 22:00:00",5.22395815570358,"1b"
"2022-09-01 23:00:00",4.86239274445061,"1b"
"2022-09-02 00:00:00",4.7155030513461,"1b"
"2022-09-02 01:00:00",4.72747745628643,"1b"
"2022-09-02 02:00:00",4.69301661126526,"1b"
"2022-09-02 03:00:00",4.59581376325284,"1b"
"2022-09-02 04:00:00",4.35986898112684,"1b"
"2022-09-02 05:00:00",4.11545400443951,"1b"
"2022-09-02 06:00:00",4.03641793893977,"1b"
"2022-09-02 07:00:00",4.11353177379961,"1b"
"2022-09-02 08:00:00",4.18087634350721,"1b"
"2022-09-02 09:00:00",4.12715764029975,"1b"
"2022-09-02 10:00:00",4.150807853733,"1b"
"2022-09-02 11:00:00",4.60937815149834,"1b"
"2022-09-02 12:00:00",5.25916110907577,"1b"
"2022-09-02 13:00:00",5.86662167055232,"1b"
"2022-09-02 14:00:00",6.18434595005549,"1b"
"2022-09-02 15:00:00",6.10592221426589,"1b"
"2022-09-02 16:00:00",6.49068484762698,"1b"
"2022-09-02 17:00:00",6.7917619345172,"1b"
"2022-09-02 18:00:00",7.18552375742437,"1b"
"2022-09-02 19:00:00",7.39215178157091,"1b"
"2022-09-02 20:00:00",7.58179018951165,"1b"
"2022-09-02 21:00:00",7.79019836552873,"1b"
"2022-09-02 22:00:00",7.82308024979184,"1b"
"2022-09-02 23:00:00",7.66425297447281,"1b"
"2022-09-03 00:00:00",7.32448998973078,"1b"
"2022-09-03 01:00:00",7.15160036663891,"1b"
"2022-09-03 02:00:00",6.80658029522753,"1b"
"2022-09-03 03:00:00",6.39892207771302,"1b"
"2022-09-03 04:00:00",6.16030935026367,"1b"
"2022-09-03 05:00:00",6.37273549611543,"1b"
"2022-09-03 06:00:00",6.73460159811268,"1b"
"2022-09-03 07:00:00",6.30515536525118,"1b"
"2022-09-03 08:00:00",5.45357994062153,"1b"
"2022-09-03 09:00:00",5.05269214404663,"1b"
"2022-09-03 10:00:00",5.43479822209883,"1b"
"2022-09-03 11:00:00",5.63276923418424,"1b"
"2022-09-03 12:00:00",5.47850421815154,"1b"
"2022-09-03 13:00:00",5.16216405245629,"1b"
"2022-09-03 14:00:00",4.90816341870144,"1b"
"2022-09-03 15:00:00",4.78005173660838,"1b"
"2022-09-03 16:00:00",4.50194403107658,"1b"
"2022-09-03 17:00:00",4.20871540965862,"1b"
"2022-09-03 18:00:00",3.89981301915071,"1b"
"2022-09-03 19:00:00",3.59573896433528,"1b"
"2022-09-03 20:00:00",3.40112632966149,"1b"
"2022-09-03 21:00:00",3.27009135753539,"1b"
"2022-09-03 22:00:00",3.21680111612545,"1b"
"2022-09-03 23:00:00",3.20948642416759,"1b"
"2022-09-04 00:00:00",3.19238669672495,"1b"
"2022-09-04 01:00:00",3.231855955204,"1b"
"2022-09-04 02:00:00",3.32485938551609,"1b"
"2022-09-04 03:00:00",3.43664578406883,"1b"
"2022-09-04 04:00:00",3.62762349736331,"1b"
"2022-09-04 05:00:00",3.97433057880133,"1b"
"2022-09-04 06:00:00",4.13720363918956,"1b"
"2022-09-04 07:00:00",4.01106170857619,"1b"
"2022-09-04 08:00:00",3.66422893701443,"1b"
"2022-09-04 09:00:00",3.39218064471274,"1b"
"2022-09-04 10:00:00",3.3035925856191,"1b"
"2022-09-04 11:00:00",3.31903873645949,"1b"
"2022-09-04 12:00:00",3.29466568498473,"1b"
"2022-09-04 13:00:00",3.29189399769572,"1b"
"2022-09-04 14:00:00",3.15423519117647,"1b"
"2022-09-04 15:00:00",3.28124269305941,"1b"
"2022-09-04 16:00:00",3.19374045706356,"1b"
"2022-09-04 17:00:00",2.99052718681654,"1b"
"2022-09-04 18:00:00",2.69026760474736,"1b"
"2022-09-04 19:00:00",2.55768543361466,"1b"
"2022-09-04 20:00:00",2.46639009897079,"1b"
"2022-09-04 21:00:00",2.46957308001665,"1b"
"2022-09-04 22:00:00",2.56553192839444,"1b"
"2022-09-04 23:00:00",2.63723584746045,"1b"
"2022-09-05 00:00:00",2.66906651259578,"1b"
"2022-09-05 01:00:00",2.64260188770469,"1b"
"2022-09-05 02:00:00",2.51737473880344,"1b"
"2022-09-05 03:00:00",2.33920743410719,"1b"
"2022-09-05 04:00:00",2.23512349982207,"1b"
"2022-09-05 05:00:00",2.10357656726439,"1b"
"2022-09-05 06:00:00",1.95801760287018,"1b"
"2022-09-05 07:00:00",1.68872661919045,"1b"
"2022-09-05 08:00:00",1.63738860334935,"1b"
"2022-09-05 09:00:00",1.55092254001109,"1b"
"2022-09-05 10:00:00",1.74014901382991,"1b"
"2022-09-05 11:00:00",2.0822673725007,"1b"
"2022-09-05 12:00:00",2.36584011025334,"1b"
"2022-09-05 13:00:00",2.7738751605884,"1b"
"2022-09-05 14:00:00",2.98130205648071,"1b"
"2022-09-05 15:00:00",2.84983849808387,"1b"
"2022-09-05 16:00:00",2.68401183410506,"1b"
"2022-09-05 17:00:00",2.36612285266667,"1b"
"2022-09-05 18:00:00",2.14952700453205,"1b"
"2022-09-05 19:00:00",2.00066843862863,"1b"
"2022-09-05 20:00:00",1.95285698654566,"1b"
"2022-09-05 21:00:00",1.93746630325783,"1b"
"2022-09-05 22:00:00",1.64576790811409,"1b"
"2022-09-05 23:00:00",1.60693088524979,"1b"
"2022-09-06 00:00:00",1.5030237761299,"1b"
"2022-09-06 01:00:00",1.42308315871131,"1b"
"2022-09-06 02:00:00",1.30239172919353,"1b"
"2022-09-06 03:00:00",1.15702457785305,"1b"
"2022-09-06 04:00:00",1.04568245183253,"1b"
"2022-09-06 05:00:00",1.06364302719981,"1b"
"2022-09-06 06:00:00",1.11511003219824,"1b"
"2022-09-06 07:00:00",1.10587973103109,"1b"
"2022-09-06 08:00:00",1.0269429926534,"1b"
"2022-09-06 09:00:00",1.04217538524774,"1b"
"2022-09-06 10:00:00",1.08876906491487,"1b"
"2022-09-06 11:00:00",1.05821163241392,"1b"
"2022-09-06 12:00:00",1.28294773445704,"1b"
"2022-09-06 13:00:00",1.61164273581701,"1b"
"2022-09-06 14:00:00",1.83936368058257,"1b"
"2022-09-06 15:00:00",2.10067926614314,"1b"
"2022-09-06 16:00:00",2.36945932983556,"1b"
"2022-09-06 17:00:00",2.44800630129797,"1b"
"2022-09-06 18:00:00",2.53914246382541,"1b"
