"datetime","SO2","qc_flag_SO2"
"2025-09-01 00:00:00",0.722133333333333,"1b"
"2025-09-01 01:00:00",0.947827586206897,"1b"
"2025-09-01 02:00:00",1.00476666666667,"1b"
"2025-09-01 03:00:00",0.932666666666667,"1b"
"2025-09-01 04:00:00",1.00123333333333,"1b"
"2025-09-01 05:00:00",1.02613333333333,"1b"
"2025-09-01 06:00:00",0.969883333333333,"1b"
"2025-09-01 07:00:00",1.11993333333333,"1b"
"2025-09-01 08:00:00",1.1353,"1b"
"2025-09-01 09:00:00",0.962966666666667,"1b"
"2025-09-01 10:00:00",0.691433333333333,"1b"
"2025-09-01 11:00:00",0.760033333333333,"1b"
"2025-09-01 12:00:00",1.00825,"1b"
"2025-09-01 13:00:00",0.828216666666667,"1b"
"2025-09-01 14:00:00",0.844233333333333,"1b"
"2025-09-01 15:00:00",0.9394,"1b"
"2025-09-01 16:00:00",1.03333333333333,"1b"
"2025-09-01 17:00:00",1.01181666666667,"1b"
"2025-09-01 18:00:00",0.92045,"1b"
"2025-09-01 19:00:00",0.73255,"1b"
"2025-09-01 20:00:00",0.766433333333333,"1b"
"2025-09-01 21:00:00",0.674966666666667,"1b"
"2025-09-01 22:00:00",0.648983333333333,"1b"
"2025-09-01 23:00:00",0.765283333333333,"1b"
"2025-09-02 00:00:00",0.824566666666667,"1b"
"2025-09-02 01:00:00",0.63148275862069,"1b"
"2025-09-02 02:00:00",0.67035,"1b"
"2025-09-02 03:00:00",0.617583333333333,"1b"
"2025-09-02 04:00:00",0.527383333333333,"1b"
"2025-09-02 05:00:00",0.566566666666667,"1b"
"2025-09-02 06:00:00",0.741533333333333,"1b"
"2025-09-02 07:00:00",0.70195,"1b"
"2025-09-02 08:00:00",0.905416666666667,"1b"
"2025-09-02 09:00:00",0.93835,"1b"
"2025-09-02 10:00:00",1.01278333333333,"1b"
"2025-09-02 11:00:00",1.0843,"1b"
"2025-09-02 12:00:00",0.922966666666667,"1b"
"2025-09-02 13:00:00",0.676033333333333,"1b"
"2025-09-02 14:00:00",0.524933333333333,"1b"
"2025-09-02 15:00:00",0.658383333333333,"1b"
"2025-09-02 16:00:00",1.09428333333333,"1b"
"2025-09-02 17:00:00",1.03945,"1b"
"2025-09-02 18:00:00",0.910783333333333,"1b"
"2025-09-02 19:00:00",0.9697,"1b"
"2025-09-02 20:00:00",0.823266666666667,"1b"
"2025-09-02 21:00:00",0.944816666666667,"1b"
"2025-09-02 22:00:00",0.821516666666667,"1b"
"2025-09-02 23:00:00",0.964833333333333,"1b"
"2025-09-03 00:00:00",0.965766666666667,"1b"
"2025-09-03 01:00:00",1.06320689655172,"1b"
"2025-09-03 02:00:00",0.902533333333333,"1b"
"2025-09-03 03:00:00",0.9997,"1b"
"2025-09-03 04:00:00",1.16251666666667,"1b"
"2025-09-03 05:00:00",1.05725,"1b"
"2025-09-03 06:00:00",0.903733333333333,"1b"
"2025-09-03 07:00:00",1.03285,"1b"
"2025-09-03 08:00:00",0.66035,"1b"
"2025-09-03 09:00:00",1.22803333333333,"1b"
"2025-09-03 10:00:00",1.32426666666667,"1b"
"2025-09-03 11:00:00",1.32953333333333,"1b"
"2025-09-03 12:00:00",0.98715,"1b"
"2025-09-03 13:00:00",0.720233333333333,"1b"
"2025-09-03 14:00:00",0.8055,"1b"
"2025-09-03 15:00:00",0.805,"1b"
"2025-09-03 16:00:00",0.7412,"1b"
"2025-09-03 17:00:00",0.738516666666667,"1b"
"2025-09-03 18:00:00",0.584266666666667,"1b"
"2025-09-03 19:00:00",0.495633333333333,"1b"
"2025-09-03 20:00:00",0.425483333333333,"1b"
"2025-09-03 21:00:00",0.557666666666667,"1b"
"2025-09-03 22:00:00",0.59155,"1b"
"2025-09-03 23:00:00",0.493016666666667,"1b"
"2025-09-04 00:00:00",0.4376,"1b"
"2025-09-04 01:00:00",0.635310344827586,"1b"
"2025-09-04 02:00:00",0.4914,"1b"
"2025-09-04 03:00:00",0.578716666666667,"1b"
"2025-09-04 04:00:00",0.421766666666667,"1b"
"2025-09-04 05:00:00",0.471533333333333,"1b"
"2025-09-04 06:00:00",0.52465,"1b"
"2025-09-04 07:00:00",0.463633333333333,"1b"
"2025-09-04 08:00:00",0.583833333333333,"1b"
"2025-09-04 09:00:00",0.512783333333333,"1b"
"2025-09-04 10:00:00",0.633866666666667,"1b"
"2025-09-04 11:00:00",0.8364,"1b"
"2025-09-04 12:00:00",1.04886666666667,"1b"
"2025-09-04 13:00:00",0.614316666666667,"1b"
"2025-09-04 14:00:00",0.607,"1b"
"2025-09-04 15:00:00",0.684983333333333,"1b"
"2025-09-04 16:00:00",0.50315,"1b"
"2025-09-04 17:00:00",0.476683333333333,"1b"
"2025-09-04 18:00:00",0.470733333333333,"1b"
"2025-09-04 19:00:00",0.467966666666667,"1b"
"2025-09-04 20:00:00",0.462016666666667,"1b"
"2025-09-04 21:00:00",0.272216666666667,"1b"
"2025-09-04 22:00:00",0.2464,"1b"
"2025-09-04 23:00:00",0.194433333333333,"1b"
"2025-09-05 00:00:00",0.2234,"1b"
"2025-09-05 01:00:00",0.23948275862069,"1b"
"2025-09-05 02:00:00",0.23635,"1b"
"2025-09-05 03:00:00",0.211116666666667,"1b"
"2025-09-05 04:00:00",0.19125,"1b"
"2025-09-05 05:00:00",0.174473684210526,"1b"
