"datetime","SO2","qc_flag_SO2"
"2024-06-01 00:00:00",NA,"5b"
"2024-06-01 01:00:00",NA,"5b"
"2024-06-01 02:00:00",NA,"5b"
"2024-06-01 03:00:00",NA,"5b"
"2024-06-01 04:00:00",NA,"5b"
"2024-06-01 05:00:00",NA,"5b"
"2024-06-01 06:00:00",NA,"5b"
"2024-06-01 07:00:00",NA,"5b"
"2024-06-01 08:00:00",NA,"5b"
"2024-06-01 09:00:00",NA,"5b"
"2024-06-01 10:00:00",NA,"5b"
"2024-06-01 11:00:00",NA,"5b"
"2024-06-01 12:00:00",NA,"5b"
"2024-06-01 13:00:00",0.409457627118644,"1b"
"2024-06-01 14:00:00",0.367616666666667,"1b"
"2024-06-01 15:00:00",0.295383333333333,"1b"
"2024-06-01 16:00:00",0.414883333333333,"1b"
"2024-06-01 17:00:00",0.35155,"1b"
"2024-06-01 18:00:00",0.442683333333333,"1b"
"2024-06-01 19:00:00",0.37675,"1b"
"2024-06-01 20:00:00",0.49115,"1b"
"2024-06-01 21:00:00",0.282533333333333,"1b"
"2024-06-01 22:00:00",0.203016666666667,"1b"
"2024-06-01 23:00:00",0.248566666666667,"1b"
"2024-06-02 00:00:00",0.272216666666667,"1b"
"2024-06-02 01:00:00",0.2224,"1b"
"2024-06-02 02:00:00",0.3569,"1b"
"2024-06-02 03:00:00",0.659283333333333,"1b"
"2024-06-02 04:00:00",1.0674,"1b"
"2024-06-02 05:00:00",1.28096666666667,"1b"
"2024-06-02 06:00:00",1.36028333333333,"1b"
"2024-06-02 07:00:00",1.62698333333333,"1b"
"2024-06-02 08:00:00",1.36708333333333,"1b"
"2024-06-02 09:00:00",0.953383333333333,"1b"
"2024-06-02 10:00:00",0.947616666666667,"1b"
"2024-06-02 11:00:00",0.895016666666667,"1b"
"2024-06-02 12:00:00",0.689033333333333,"1b"
"2024-06-02 13:00:00",0.465233333333333,"1b"
"2024-06-02 14:00:00",0.4496,"1b"
"2024-06-02 15:00:00",0.474533333333333,"1b"
"2024-06-02 16:00:00",0.411766666666667,"1b"
"2024-06-02 17:00:00",0.314533333333333,"1b"
