"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2024-09-01,0.438757575757576,0.275181818181818,0.260424242424242,0.269606060606061,0.261636363636364,0.254818181818182,0.269272727272727,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 01:00:00,0.282616666666667,0.252116666666667,0.240283333333333,0.241083333333333,0.232916666666667,0.243733333333333,0.242233333333333,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 02:00:00,0.265916666666667,0.250383333333333,0.238816666666667,0.2396,0.231733333333333,0.2376,0.23635,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 03:00:00,0.289216666666667,0.27765,0.2649,0.264916666666667,0.257466666666667,0.25965,0.260416666666667,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 04:00:00,0.395933333333333,0.39075,0.370683333333333,0.369016666666667,0.356783333333333,0.35525,0.3574,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 05:00:00,0.338516666666667,0.335533333333333,0.321083333333333,0.321583333333333,0.312383333333333,0.312116666666667,0.314683333333333,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 06:00:00,0.334366666666667,0.332316666666667,0.318,0.31775,0.308766666666667,0.307516666666667,0.31075,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 07:00:00,0.30485,0.302133333333333,0.289016666666667,0.289466666666667,0.283216666666667,0.281533333333333,0.28485,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 08:00:00,0.3712,0.367016666666667,0.350083333333333,0.347266666666667,0.33785,0.331416666666667,0.335216666666667,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 09:00:00,0.463983333333333,0.459633333333333,0.435683333333333,0.432733333333333,0.41935,0.4061,0.411733333333333,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 10:00:00,0.497466666666667,0.5,0.475433333333333,0.47205,0.458233333333333,0.442216666666667,0.448733333333333,"1b","1b","1b","1b","1b","1b","1b"
2024-09-01 11:00:00,0.498216666666667,0.49545,0.468433333333333,0.4623,0.44865,0.426483333333333,0.433866666666667,"1b","1b","1b","1b","1b","1b","1b"
