"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-09-01,0.28315,0.291783333333333,0.282166666666667,0.2802,0.268233333333333,0.27245,0.274433333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 01:00:00,0.2771,0.281333333333333,0.27145,0.268416666666667,0.255233333333333,0.25425,0.25755,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 02:00:00,0.3246,0.335483333333333,0.325266666666667,0.322883333333333,0.307933333333333,0.3089,0.310733333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 03:00:00,0.31285,0.324783333333333,0.3161,0.314533333333333,0.29955,0.3004,0.302133333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 04:00:00,0.321533333333333,0.329933333333333,0.317866666666667,0.315583333333333,0.298983333333333,0.2988,0.300166666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 05:00:00,0.417433333333333,0.424166666666667,0.408766666666667,0.40205,0.380966666666667,0.380516666666667,0.382066666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 06:00:00,0.560183333333333,0.576433333333333,0.554616666666667,0.5491,0.52075,0.524283333333333,0.53,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 07:00:00,0.666966666666667,0.685733333333333,0.659233333333333,0.650466666666667,0.616,0.621,0.625816666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 08:00:00,0.691916666666667,0.70575,0.674816666666667,0.6614,0.626216666666667,0.625066666666667,0.632466666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 09:00:00,0.705,0.723666666666667,0.690395833333333,0.67675,0.638770833333333,0.634541666666667,0.64025,"1b","1b","1b","1b","1b","1b","1b"
2021-09-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 16:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 17:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 18:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 19:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 20:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 22:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-01 23:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 01:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 02:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 03:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 04:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 05:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 06:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 08:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 09:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 10:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 13:00:00,NA,NA,NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b","0b","0b"
2021-09-02 14:00:00,0.455,0.410625,0.398625,0.45125,0.423125,0.328,0.41575,"1b","1b","1b","1b","1b","1b","1b"
2021-09-02 15:00:00,0.476366666666667,0.389983333333333,0.370616666666667,0.36985,0.3641,0.3323,0.349566666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-09-02 16:00:00,0.400533333333333,0.3903,0.368133333333333,0.363766666666667,6.14295,0.329983333333333,0.34215,"1b","1b","1b","1b","1b","1b","1b"
2021-09-02 17:00:00,0.4445,0.450533333333333,0.425766666666667,0.419366666666667,2.92463043478261,0.387816666666667,0.3933,"1b","1b","1b","1b","1b","1b","1b"
