"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2026-01-01,0.856166666666667,0.685416666666667,0.594833333333333,0.548966666666667,0.493633333333333,0.439866666666667,0.437633333333333,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 01:00:00,0.2466,0.251183333333333,0.229416666666667,0.218166666666667,0.202466666666667,0.182516666666667,0.1852,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 02:00:00,0.148583333333333,0.172066666666667,0.16165,0.156683333333333,0.147333333333333,0.138633333333333,0.14085,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 03:00:00,0.115733333333333,0.13585,0.12825,0.126,0.117933333333333,0.111133333333333,0.112616666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 04:00:00,0.0906833333333333,0.112766666666667,0.10785,0.104983333333333,0.09855,0.0965833333333333,0.0982333333333333,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 05:00:00,0.0915833333333333,0.107016666666667,0.101183333333333,0.0991666666666667,0.0943166666666667,0.0902,0.0911833333333333,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 06:00:00,0.0991833333333333,0.109916666666667,0.1042,0.1009,0.0960666666666667,0.0906333333333333,0.093,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 07:00:00,0.0953166666666667,0.10565,0.0997166666666667,0.0980333333333333,0.0917333333333333,0.091,0.0914,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 08:00:00,0.0895333333333333,0.104733333333333,0.100766666666667,0.0982166666666667,0.09445,0.0907666666666667,0.0926166666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 09:00:00,0.137033333333333,0.153866666666667,0.145966666666667,0.143,0.136316666666667,0.1324,0.135166666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 10:00:00,0.123083333333333,0.1368,0.13095,0.1281,0.123066666666667,0.1175,0.12005,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 11:00:00,0.18365,0.187966666666667,0.176833333333333,0.1737,0.166716666666667,0.159083333333333,0.163616666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 12:00:00,0.305083333333333,0.270983333333333,0.246533333333333,0.236083333333333,0.223233333333333,0.2105,0.2139,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 13:00:00,0.241916666666667,0.2456,0.23125,0.226733333333333,0.216716666666667,0.206483333333333,0.2113,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 14:00:00,0.32395,0.3019,0.27675,0.265716666666667,0.25165,0.2377,0.241716666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 15:00:00,0.223516666666667,0.22175,0.20645,0.20035,0.188416666666667,0.18175,0.183616666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 16:00:00,0.188583333333333,0.18385,0.169983333333333,0.165416666666667,0.155433333333333,0.150883333333333,0.15315,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 17:00:00,0.444666666666667,0.378433333333333,0.339116666666667,0.321933333333333,0.300616666666667,0.285666666666667,0.286883333333333,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 18:00:00,0.378083333333333,0.353383333333333,0.326466666666667,0.315333333333333,0.296183333333333,0.28215,0.28505,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 19:00:00,0.342083333333333,0.335266666666667,0.3139,0.303683333333333,0.288816666666667,0.2782,0.28185,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 20:00:00,0.380516666666667,0.366733333333333,0.339433333333333,0.3288,0.308616666666667,0.294583333333333,0.298966666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 21:00:00,0.409366666666667,0.378183333333333,0.347066666666667,0.333683333333333,0.3127,0.301766666666667,0.303833333333333,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 22:00:00,0.2778,0.265516666666667,0.245433333333333,0.236766666666667,0.222066666666667,0.214416666666667,0.216066666666667,"1b","1b","1b","1b","1b","1b","1b"
2026-01-01 23:00:00,0.192406779661017,0.179542372881356,0.165881355932203,0.158440677966102,0.14964406779661,0.145813559322034,0.147983050847458,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02,0.163589285714286,0.109714285714286,0.0953214285714286,0.093125,0.0864285714285714,0.0815,0.0850357142857143,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02 01:00:00,0.0646666666666667,0.04835,0.0440847457627119,0.0456181818181818,0.0384166666666667,0.0439322033898305,0.0437931034482759,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02 02:00:00,0.0321,0.0258833333333333,0.02285,0.0271666666666667,0.0252363636363636,0.0261454545454545,0.027,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02 03:00:00,0.0448666666666667,0.0411833333333333,0.03885,0.0405172413793103,0.0376666666666667,0.0387758620689655,0.0407857142857143,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02 04:00:00,0.0354333333333333,0.0294666666666667,0.0276271186440678,0.0300892857142857,0.028625,0.0261864406779661,0.029,"1b","1b","1b","1b","1b","1b","1b"
2026-01-02 05:00:00,0.0404166666666667,0.03595,0.0330166666666667,0.0352321428571429,0.0316610169491525,0.0324915254237288,0.0335,"1b","1b","1b","1b","1b","1b","1b"
