"datetime","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","Precipitation_amount","qc_flag_Relative_Humidity_pct"
"2022-03-01 00:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 01:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 02:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 03:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 04:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 05:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 06:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 07:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 08:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 09:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 10:00:00",0,0,0,0,85.44,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 10:00:00",NA,NA,NA,NA,NA,-9.9,NA,"0b","0b","0b","0b","1b","1b",2,NA,"b"
"2022-03-01 11:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 12:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 13:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 14:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 15:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 16:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 17:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 18:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 19:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 20:00:00",0,0,0,0,0,-9.9,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 21:00:00",0.00935,0.0120666666666667,0.0120166666666667,5e-05,0.001,-6.405,98.15,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 22:00:00",0.180533333333333,0.18275,0.18195,0.000733333333333333,0.0946666666666667,9.86,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-01 23:00:00",0.0554,0.0517166666666667,0.0516166666666667,0.00015,0.221166666666667,3.28,93.75,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 00:00:00",0.038,0.035,0.035,0,0.25,2,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 00:00:00",0.0892105263157895,0.0919298245614035,0.0917894736842105,0.000175438596491228,0.284561403508772,6.05964912280702,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 01:00:00",0.116183333333333,0.125866666666667,0.125533333333333,3e-04,0.384166666666667,5.41833333333333,99.8166666666667,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 02:00:00",0.3671,0.35735,0.355716666666667,0.00158333333333333,0.698333333333333,11.36,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 03:00:00",0.170533333333333,0.177333333333333,0.176866666666667,4e-04,0.891,7.79833333333333,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 04:00:00",0.142916666666667,0.135983333333333,0.135666666666667,0.000266666666666667,1.076,5.56666666666667,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 05:00:00",0.157816666666667,0.161716666666667,0.161583333333333,0.000116666666666667,1.2015,3.99166666666667,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 06:00:00",0.292883333333333,0.290816666666667,0.290466666666667,0.000216666666666667,1.46933333333333,4.145,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 07:00:00",0.179183333333333,0.179533333333333,0.179266666666667,0.00025,1.6755,6.98,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 08:00:00",0.186183333333333,0.1909,0.190366666666667,0.000583333333333333,1.83383333333333,7.925,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 09:00:00",0.261183333333333,0.2556,0.255266666666667,0.000383333333333333,2.09983333333333,11.17,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 10:00:00",0.243833333333333,0.246716666666667,0.2462,0.000516666666666667,2.31666666666667,10.8383333333333,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
"2022-03-02 11:00:00",0.2854,0.291166666666667,0.290483333333333,7e-04,2.57916666666667,12.7866666666667,100,"1b","1b","1b","1b","1b","1b",1,NA,"b"
