"datetime","source_pm2p5","Org","NH4","SO4","NO3","Chl","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl"
2020-10-02 16:00:00,"BAQS",3.25220134141023,2.70526516843575,0,0.175519145040705,0.0952264762671178,"3b","3b","3b","3b","2b"
2020-10-02 17:00:00,"BAQS",4.13482395417438,0,0.406088244327438,0.486022430596289,0,"3b","3b","3b","3b","2b"
2020-10-02 18:00:00,"BAQS",6.11019816047434,0,1.65943517992794,0.373615588600822,0.19051932294215,"3b","3b","3b","3b","2b"
2020-10-02 19:00:00,"BAQS",2.49299254811387,0,0,0.330795723855954,0,"3b","3b","3b","3b","2b"
2020-10-02 20:00:00,"BAQS",6.5809642955319,1.18014287607189,0.284771347310424,0.74283402803035,0.0285210816936453,"3b","3b","3b","3b","2b"
2020-10-02 21:00:00,"BAQS",0,0,0,0.510379470796743,0.33949926488893,"3b","3b","3b","3b","2b"
2020-10-02 22:00:00,"BAQS",4.74751782468561,0,1.05910486681356,0,0,"3b","3b","3b","3b","2b"
2020-10-02 23:00:00,"BAQS",0,0.025592422283438,0.927000607080058,0.681074017375808,0,"3b","3b","3b","3b","2b"
2020-10-03,"BAQS",6.69066845142615,0.423477069504025,5.56618699330283,0.42773107005656,0.37947075058777,"3b","3b","3b","3b","2b"
2020-10-03 01:00:00,"BAQS",7.02571234432902,0,0,0.175178984398366,0,"3b","3b","3b","3b","2b"
2020-10-03 02:00:00,"BAQS",0.0485013295809372,5.62857674260652,3.2772035187282,0.433104542417626,0,"3b","3b","3b","3b","2b"
2020-10-03 03:00:00,"BAQS",0,0,0,0.420312307563245,0,"3b","3b","3b","3b","2b"
2020-10-03 04:00:00,"BAQS",2.43923676963871,0.851914096871851,3.01698597824458,0,0,"3b","3b","3b","3b","2b"
2020-10-03 05:00:00,"BAQS",2.41371045847956,4.67093098331081,0,0,0,"3b","3b","3b","3b","2b"
2020-10-03 06:00:00,"BAQS",13.7600198784492,3.01634533291051,0,0.662080314453847,0,"3b","3b","3b","3b","2b"
2020-10-03 07:00:00,"BAQS",0,0,1.99720422474336,1.06896765565324,0.12391920104881,"3b","3b","3b","3b","2b"
2020-10-03 08:00:00,"BAQS",0,0.0375667532071792,0,0.170728764760803,0,"3b","3b","3b","3b","2b"
2020-10-03 09:00:00,"BAQS",7.49852358443834,0,0,0,0.260392304039944,"3b","3b","3b","3b","2b"
2020-10-03 10:00:00,"BAQS",7.83915648027441,0,0,0.326417940306357,0,"3b","3b","3b","3b","2b"
2020-10-03 11:00:00,"BAQS",0,0.570060875707228,1.82560703082076,0.507595385955299,0,"3b","3b","3b","3b","2b"
2020-10-03 12:00:00,"BAQS",0,0,0,0.805780700662379,0,"3b","3b","3b","3b","2b"
2020-10-03 13:00:00,"BAQS",2.11857551609552,0.210270701684979,0,0.665421363264859,0,"3b","3b","3b","3b","2b"
2020-10-03 14:00:00,"BAQS",7.40779147095336,0,0,0.0821707262986662,0.140427518057525,"3b","3b","3b","3b","2b"
2020-10-03 15:00:00,"BAQS",0,1.52666165298174,2.06361642993412,0.141880827716191,0.145539149650504,"3b","3b","3b","3b","2b"
2020-10-03 16:00:00,"BAQS",0,6.13053521448451,0,0.205478860883858,0,"3b","3b","3b","3b","2b"
2020-10-03 17:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 18:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 19:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 20:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 21:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 22:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-03 23:00:00,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
2020-10-04,"BAQS",NA,NA,NA,NA,NA,"0b","0b","0b","0b","0b"
