"datetime","source_pm2p5","Org","NH4","SO4","NO3","Chl","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl"
2019-12-01,"BAQS",5.35992302458876,1.95053952484722,1.09593904411275,3.61339567363379,0.189665689753326,"3b","3b","3b","3b","2b"
2019-12-01 01:00:00,"BAQS",5.80607394617383,1.77948351629113,1.06611829903542,3.52425654510064,0.187249433331236,"3b","3b","3b","3b","2b"
2019-12-01 02:00:00,"BAQS",5.56804225697992,2.13910897482034,1.4779993931147,4.32049131630204,0.21664069015839,"3b","3b","3b","3b","2b"
2019-12-01 03:00:00,"BAQS",6.06840850148339,1.82105487698572,2.09638418643951,4.66342560287376,0.187769395528907,"3b","3b","3b","3b","2b"
2019-12-01 04:00:00,"BAQS",6.30003205953755,2.72267786305058,1.36821289784965,4.73228256833626,0.204661085262598,"3b","3b","3b","3b","2b"
2019-12-01 05:00:00,"BAQS",5.73648498116853,3.17608186085374,0.927819921727806,6.14278554973347,0.118341052927327,"3b","3b","3b","3b","2b"
2019-12-01 06:00:00,"BAQS",5.13673031348379,2.42421314905861,0.780123010158912,6.09479899663118,0.107696948196231,"3b","3b","3b","3b","2b"
2019-12-01 07:00:00,"BAQS",2.42426736617524,2.32536771074408,0.664181016367342,5.2923326912963,0.0710681744284953,"3b","3b","3b","3b","2b"
2019-12-01 08:00:00,"BAQS",2.96414836135578,1.68113432601549,0.335159382950716,3.82312261595015,0.0844605749579767,"3b","3b","3b","3b","2b"
2019-12-01 09:00:00,"BAQS",2.17057675730436,1.97346367682304,0.584250648003811,3.94185326144527,0.105879523090179,"3b","3b","3b","3b","2b"
2019-12-01 10:00:00,"BAQS",2.41934331763003,1.58078425655415,0.243411489555907,2.75040723042865,0.15129295246809,"3b","3b","3b","3b","2b"
2019-12-01 11:00:00,"BAQS",1.91879537056379,1.18426248562935,0.181091418730453,1.90497638670809,0.131442725718195,"3b","3b","3b","3b","2b"
2019-12-01 12:00:00,"BAQS",1.02973460816491,1.07435672238228,0.661141444179179,1.32994808668934,0.137383665937762,"3b","3b","3b","3b","2b"
2019-12-01 13:00:00,"BAQS",2.11748252393253,0.814609103470814,0,1.02522339571217,0.152834643228024,"3b","3b","3b","3b","2b"
2019-12-01 14:00:00,"BAQS",1.37511733407585,0.264667927802957,0.370267797550636,1.38825692880666,0.106090022204774,"3b","3b","3b","3b","2b"
2019-12-01 15:00:00,"BAQS",2.93630003765281,0.964065825992376,0.569159611935474,1.43818407318824,0.275030863704421,"3b","3b","3b","3b","2b"
2019-12-01 16:00:00,"BAQS",7.92254283611062,1.90363078553782,1.10137842892355,3.38708213333024,0.538023196178077,"3b","3b","3b","3b","2b"
2019-12-01 17:00:00,"BAQS",8.238961253472,1.98154165695874,0.4049132030136,3.80780476090146,0.449029711025596,"3b","3b","3b","3b","2b"
2019-12-01 18:00:00,"BAQS",9.53802430036619,1.78485182963731,0.475653162569984,4.64802379780211,0.484403245814883,"3b","3b","3b","3b","2b"
2019-12-01 19:00:00,"BAQS",9.49181856078507,2.29937388967416,0.397653295081854,4.56179170916713,0.625291963702184,"3b","3b","3b","3b","2b"
2019-12-01 20:00:00,"BAQS",8.57844364373306,2.64009564438699,0.791723912169315,5.80916509590598,0.340014440334235,"3b","3b","3b","3b","2b"
2019-12-01 21:00:00,"BAQS",8.51603168596422,2.16430038017958,0.735649664013365,6.52424721276128,0.312349502019707,"3b","3b","3b","3b","2b"
2019-12-01 22:00:00,"BAQS",7.22441539286056,2.24934703969184,0.498740653086819,5.53877170200153,0.229317419523823,"3b","3b","3b","3b","2b"
2019-12-01 23:00:00,"BAQS",8.26928045846644,2.61578473455015,0.788660896937183,6.89631200696958,0.235776228139917,"3b","3b","3b","3b","2b"
2019-12-02,"BAQS",7.79765062472976,2.3464770219085,0.406853982902185,7.12333065775797,0.171958704300016,"3b","3b","3b","3b","2b"
2019-12-02 01:00:00,"BAQS",6.43268393454902,2.91498680986902,0.643036042399508,6.61386423450111,0.186738449764307,"3b","3b","3b","3b","2b"
2019-12-02 02:00:00,"BAQS",6.87350579405348,2.97887820362979,0.926932062366242,7.18315772839505,0.159847461940992,"3b","3b","3b","3b","2b"
2019-12-02 03:00:00,"BAQS",5.18324082832824,3.23250611833166,0.740751539565964,6.8832789452954,0.226327627240629,"3b","3b","3b","3b","2b"
2019-12-02 04:00:00,"BAQS",4.65274896471159,2.33695623492641,0.743379364298731,6.02619419080541,0.12651558735383,"3b","3b","3b","3b","2b"
2019-12-02 05:00:00,"BAQS",4.9419124119763,3.05321701593632,0.659418129922852,7.4792560052345,0.126449727314372,"3b","3b","3b","3b","2b"
2019-12-02 06:00:00,"BAQS",3.7583002569557,1.88611324556931,0.796905138476203,4.01930159813779,0.106509941023326,"3b","3b","3b","3b","2b"
