"datetime","particle_concentration","qc_flag_particle_concentration"
"2024-09-01 00:00:00",NA,"0b"
"2024-09-01 01:00:00",NA,"0b"
"2024-09-01 02:00:00",NA,"0b"
"2024-09-01 03:00:00",NA,"0b"
"2024-09-01 04:00:00",NA,"0b"
"2024-09-01 05:00:00",NA,"0b"
"2024-09-01 06:00:00",NA,"0b"
"2024-09-01 07:00:00",NA,"0b"
"2024-09-01 08:00:00",NA,"0b"
"2024-09-01 09:00:00",NA,"0b"
"2024-09-01 10:00:00",NA,"0b"
"2024-09-01 11:00:00",NA,"0b"
"2024-09-01 12:00:00",NA,"0b"
"2024-09-01 13:00:00",NA,"0b"
"2024-09-01 14:00:00",NA,"0b"
"2024-09-01 15:00:00",NA,"0b"
"2024-09-01 16:00:00",NA,"0b"
"2024-09-01 17:00:00",NA,"0b"
"2024-09-01 18:00:00",NA,"0b"
"2024-09-01 19:00:00",NA,"0b"
"2024-09-01 20:00:00",NA,"0b"
"2024-09-01 21:00:00",NA,"0b"
"2024-09-01 22:00:00",NA,"0b"
"2024-09-01 23:00:00",NA,"0b"
"2024-09-02 00:00:00",NA,"0b"
"2024-09-02 01:00:00",NA,"0b"
"2024-09-02 02:00:00",NA,"0b"
"2024-09-02 03:00:00",NA,"0b"
"2024-09-02 04:00:00",NA,"0b"
"2024-09-02 05:00:00",NA,"0b"
"2024-09-02 06:00:00",NA,"0b"
"2024-09-02 07:00:00",NA,"0b"
"2024-09-02 08:00:00",NA,"0b"
"2024-09-02 09:00:00",NA,"0b"
"2024-09-02 10:00:00",NA,"0b"
"2024-09-02 11:00:00",NA,"0b"
"2024-09-02 12:00:00",6613.79325498103,"1b"
"2024-09-02 13:00:00",4959.22355144,"1b"
"2024-09-02 14:00:00",4367.49925130667,"1b"
"2024-09-02 15:00:00",6351.4806071,"1b"
"2024-09-02 16:00:00",5900.62121989333,"1b"
"2024-09-02 17:00:00",7966.599283855,"1b"
"2024-09-02 18:00:00",8304.67910969833,"1b"
"2024-09-02 19:00:00",9450.29689127667,"1b"
"2024-09-02 20:00:00",8627.48339846667,"1b"
"2024-09-02 21:00:00",NA,"0b"
"2024-09-02 22:00:00",NA,"0b"
"2024-09-02 23:00:00",NA,"0b"
"2024-09-03 00:00:00",NA,"0b"
"2024-09-03 01:00:00",NA,"0b"
"2024-09-03 02:00:00",NA,"0b"
"2024-09-03 03:00:00",NA,"0b"
"2024-09-03 04:00:00",NA,"0b"
"2024-09-03 05:00:00",NA,"0b"
"2024-09-03 06:00:00",NA,"0b"
"2024-09-03 07:00:00",NA,"0b"
"2024-09-03 08:00:00",NA,"0b"
"2024-09-03 09:00:00",8029.09362793125,"1b"
"2024-09-03 10:00:00",9216.66300455833,"1b"
"2024-09-03 11:00:00",7708.75585937667,"1b"
"2024-09-03 12:00:00",4755.20000814,"1b"
"2024-09-03 13:00:00",4812.645080565,"1b"
"2024-09-03 14:00:00",4566.85212809833,"1b"
"2024-09-03 15:00:00",3546.54103596333,"1b"
"2024-09-03 16:00:00",4569.39157714667,"1b"
"2024-09-03 17:00:00",5293.48333334,"1b"
"2024-09-03 18:00:00",7993.95440266833,"1b"
"2024-09-03 19:00:00",7784.53395996333,"1b"
"2024-09-03 20:00:00",9426.01127115833,"1b"
"2024-09-03 21:00:00",8599.204451495,"1b"
"2024-09-03 22:00:00",5347.744156895,"1b"
"2024-09-03 23:00:00",6816.307169595,"1b"
"2024-09-04 00:00:00",7281.03816730833,"1b"
"2024-09-04 01:00:00",9837.85443522167,"1b"
"2024-09-04 02:00:00",8655.45022379667,"1b"
"2024-09-04 03:00:00",2974.545426435,"1b"
"2024-09-04 04:00:00",3669.6511081,"1b"
"2024-09-04 05:00:00",NA,"0b"
"2024-09-04 06:00:00",NA,"0b"
"2024-09-04 07:00:00",NA,"0b"
"2024-09-04 08:00:00",NA,"0b"
"2024-09-04 09:00:00",NA,"0b"
"2024-09-04 10:00:00",NA,"0b"
"2024-09-04 11:00:00",NA,"0b"
"2024-09-04 12:00:00",NA,"0b"
"2024-09-04 13:00:00",NA,"0b"
"2024-09-04 14:00:00",NA,"0b"
"2024-09-04 15:00:00",NA,"0b"
"2024-09-04 16:00:00",NA,"0b"
"2024-09-04 17:00:00",NA,"0b"
"2024-09-04 18:00:00",NA,"0b"
"2024-09-04 19:00:00",NA,"0b"
"2024-09-04 20:00:00",NA,"0b"
"2024-09-04 21:00:00",NA,"0b"
"2024-09-04 22:00:00",NA,"0b"
"2024-09-04 23:00:00",NA,"0b"
"2024-09-05 00:00:00",NA,"0b"
"2024-09-05 01:00:00",NA,"0b"
"2024-09-05 02:00:00",NA,"0b"
"2024-09-05 03:00:00",NA,"0b"
"2024-09-05 04:00:00",NA,"0b"
"2024-09-05 05:00:00",NA,"0b"
"2024-09-05 06:00:00",NA,"0b"
"2024-09-05 07:00:00",NA,"0b"
"2024-09-05 08:00:00",NA,"0b"
"2024-09-05 09:00:00",NA,"0b"
"2024-09-05 10:00:00",NA,"0b"
"2024-09-05 11:00:00",NA,"0b"
"2024-09-05 12:00:00",NA,"0b"
"2024-09-05 13:00:00",NA,"0b"
"2024-09-05 14:00:00",NA,"0b"
"2024-09-05 15:00:00",NA,"0b"
"2024-09-05 16:00:00",NA,"0b"
"2024-09-05 17:00:00",NA,"0b"
"2024-09-05 18:00:00",NA,"0b"
"2024-09-05 19:00:00",NA,"0b"
"2024-09-05 20:00:00",NA,"0b"
"2024-09-05 21:00:00",NA,"0b"
"2024-09-05 22:00:00",NA,"0b"
"2024-09-05 23:00:00",NA,"0b"
"2024-09-06 00:00:00",NA,"0b"
"2024-09-06 01:00:00",NA,"0b"
"2024-09-06 02:00:00",NA,"0b"
"2024-09-06 03:00:00",NA,"0b"
"2024-09-06 04:00:00",NA,"0b"
"2024-09-06 05:00:00",NA,"0b"
"2024-09-06 06:00:00",NA,"0b"
"2024-09-06 07:00:00",NA,"0b"
"2024-09-06 08:00:00",NA,"0b"
"2024-09-06 09:00:00",NA,"0b"
"2024-09-06 10:00:00",NA,"0b"
"2024-09-06 11:00:00",NA,"0b"
"2024-09-06 12:00:00",NA,"0b"
"2024-09-06 13:00:00",NA,"0b"
"2024-09-06 14:00:00",NA,"0b"
"2024-09-06 15:00:00",NA,"0b"
"2024-09-06 16:00:00",NA,"0b"
"2024-09-06 17:00:00",NA,"0b"
"2024-09-06 18:00:00",NA,"0b"
"2024-09-06 19:00:00",NA,"0b"
"2024-09-06 20:00:00",NA,"0b"
"2024-09-06 21:00:00",NA,"0b"
"2024-09-06 22:00:00",NA,"0b"
"2024-09-06 23:00:00",NA,"0b"
"2024-09-07 00:00:00",NA,"0b"
"2024-09-07 01:00:00",NA,"0b"
"2024-09-07 02:00:00",NA,"0b"
"2024-09-07 03:00:00",NA,"0b"
"2024-09-07 04:00:00",NA,"0b"
"2024-09-07 05:00:00",NA,"0b"
"2024-09-07 06:00:00",NA,"0b"
"2024-09-07 07:00:00",NA,"0b"
"2024-09-07 08:00:00",NA,"0b"
"2024-09-07 09:00:00",NA,"0b"
"2024-09-07 10:00:00",NA,"0b"
"2024-09-07 11:00:00",NA,"0b"
"2024-09-07 12:00:00",NA,"0b"
"2024-09-07 13:00:00",NA,"0b"
"2024-09-07 14:00:00",NA,"0b"
"2024-09-07 15:00:00",NA,"0b"
"2024-09-07 16:00:00",NA,"0b"
"2024-09-07 17:00:00",NA,"0b"
"2024-09-07 18:00:00",NA,"0b"
"2024-09-07 19:00:00",NA,"0b"
"2024-09-07 20:00:00",NA,"0b"
"2024-09-07 21:00:00",NA,"0b"
"2024-09-07 22:00:00",NA,"0b"
"2024-09-07 23:00:00",NA,"0b"
"2024-09-08 00:00:00",NA,"0b"
"2024-09-08 01:00:00",NA,"0b"
"2024-09-08 02:00:00",NA,"0b"
"2024-09-08 03:00:00",NA,"0b"
"2024-09-08 04:00:00",NA,"0b"
"2024-09-08 05:00:00",NA,"0b"
"2024-09-08 06:00:00",NA,"0b"
"2024-09-08 07:00:00",NA,"0b"
"2024-09-08 08:00:00",NA,"0b"
"2024-09-08 09:00:00",NA,"0b"
"2024-09-08 10:00:00",NA,"0b"
"2024-09-08 11:00:00",NA,"0b"
"2024-09-08 12:00:00",NA,"0b"
"2024-09-08 13:00:00",NA,"0b"
"2024-09-08 14:00:00",NA,"0b"
"2024-09-08 15:00:00",NA,"0b"
"2024-09-08 16:00:00",NA,"0b"
"2024-09-08 17:00:00",NA,"0b"
"2024-09-08 18:00:00",NA,"0b"
"2024-09-08 19:00:00",NA,"0b"
"2024-09-08 20:00:00",NA,"0b"
"2024-09-08 21:00:00",NA,"0b"
"2024-09-08 22:00:00",NA,"0b"
"2024-09-08 23:00:00",NA,"0b"
"2024-09-09 00:00:00",NA,"0b"
"2024-09-09 01:00:00",NA,"0b"
"2024-09-09 02:00:00",NA,"0b"
"2024-09-09 03:00:00",NA,"0b"
"2024-09-09 04:00:00",NA,"0b"
"2024-09-09 05:00:00",NA,"0b"
"2024-09-09 06:00:00",NA,"0b"
"2024-09-09 07:00:00",NA,"0b"
"2024-09-09 08:00:00",NA,"0b"
"2024-09-09 09:00:00",NA,"0b"
"2024-09-09 10:00:00",NA,"0b"
"2024-09-09 11:00:00",NA,"0b"
"2024-09-09 12:00:00",NA,"0b"
"2024-09-09 13:00:00",NA,"0b"
"2024-09-09 14:00:00",NA,"0b"
"2024-09-09 15:00:00",NA,"0b"
"2024-09-09 16:00:00",NA,"0b"
"2024-09-09 17:00:00",NA,"0b"
"2024-09-09 18:00:00",NA,"0b"
"2024-09-09 19:00:00",NA,"0b"
"2024-09-09 20:00:00",NA,"0b"
"2024-09-09 21:00:00",NA,"0b"
"2024-09-09 22:00:00",NA,"0b"
"2024-09-09 23:00:00",NA,"0b"
