"datetime","particle_concentration","qc_flag_particle_concentration"
"2025-04-01 00:00:00",8779.72542318167,"1b"
"2025-04-01 01:00:00",11365.0762858117,"1b"
"2025-04-01 02:00:00",12567.5346842417,"1b"
"2025-04-01 03:00:00",12754.3789713533,"1b"
"2025-04-01 04:00:00",12734.54847005,"1b"
"2025-04-01 05:00:00",11095.1186523417,"1b"
"2025-04-01 06:00:00",7360.07534427966,"1b"
"2025-04-01 07:00:00",4875.16468912833,"1b"
"2025-04-01 08:00:00",5393.833243815,"1b"
"2025-04-01 09:00:00",6606.75003050625,"1b"
"2025-04-01 10:00:00",NA,"0b"
"2025-04-01 11:00:00",7949.72250828182,"1b"
"2025-04-01 12:00:00",14178.1695149733,"1b"
"2025-04-01 13:00:00",10238.3277506467,"1b"
"2025-04-01 14:00:00",11601.120963545,"1b"
"2025-04-01 15:00:00",16826.1898763017,"1b"
"2025-04-01 16:00:00",18405.7998047,"1b"
"2025-04-01 17:00:00",NA,"0b"
"2025-04-01 18:00:00",NA,"0b"
"2025-04-01 19:00:00",NA,"0b"
"2025-04-01 20:00:00",NA,"0b"
"2025-04-01 21:00:00",NA,"0b"
"2025-04-01 22:00:00",NA,"0b"
"2025-04-01 23:00:00",NA,"0b"
"2025-04-02 00:00:00",6343.36426622586,"1b"
"2025-04-02 01:00:00",6018.81437174667,"1b"
"2025-04-02 02:00:00",5672.32169596167,"1b"
"2025-04-02 03:00:00",6009.23267415167,"1b"
"2025-04-02 04:00:00",8999.886027015,"1b"
"2025-04-02 05:00:00",10954.126546225,"1b"
"2025-04-02 06:00:00",15338.789860025,"1b"
"2025-04-02 07:00:00",13243.7457519483,"1b"
"2025-04-02 08:00:00",11126.3712402333,"1b"
"2025-04-02 09:00:00",8201.89557291667,"1b"
"2025-04-02 10:00:00",7222.44505208,"1b"
"2025-04-02 11:00:00",7661.69039213846,"1b"
"2025-04-02 12:00:00",10684.3807114121,"1b"
"2025-04-02 13:00:00",9101.57214355333,"1b"
"2025-04-02 14:00:00",9592.33239746833,"1b"
"2025-04-02 15:00:00",12814.4571707543,"1b"
"2025-04-02 16:00:00",12718.9374663224,"1b"
"2025-04-02 17:00:00",12647.9509765583,"1b"
"2025-04-02 18:00:00",8495.28802083833,"1b"
"2025-04-02 19:00:00",8392.12712402667,"1b"
"2025-04-02 20:00:00",7722.84177945357,"1b"
"2025-04-02 21:00:00",NA,"0b"
"2025-04-02 22:00:00",NA,"0b"
"2025-04-02 23:00:00",NA,"0b"
"2025-04-03 00:00:00",7380.77913692069,"1b"
"2025-04-03 01:00:00",6685.10765787333,"1b"
"2025-04-03 02:00:00",6626.480769855,"1b"
"2025-04-03 03:00:00",6454.11403809,"1b"
"2025-04-03 04:00:00",6597.57169596667,"1b"
"2025-04-03 05:00:00",7963.09876302833,"1b"
"2025-04-03 06:00:00",9672.39567057167,"1b"
"2025-04-03 07:00:00",12452.1352376283,"1b"
